Date,FEDDERELEC
2014-01-01,34.55
2014-01-02,34.35
2014-01-03,35.4
2014-01-06,37.05
2014-01-07,36.6
2014-01-08,36.15
2014-01-09,35.15
2014-01-10,34.95
2014-01-13,34.2
2014-01-14,34.4
2014-01-15,34.75
2014-01-16,33.45
2014-01-17,32.75
2014-01-20,33.35
2014-01-21,33.1
2014-01-22,33.7
2014-01-23,33.6
2014-01-24,32.25
2014-01-27,29.95
2014-01-28,29.0
2014-01-29,28.7
2014-01-30,28.6
2014-01-31,29.0
2014-02-03,28.4
2014-02-04,29.4
2014-02-05,29.8
2014-02-06,30.15
2014-02-07,30.6
2014-02-10,34.4
2014-02-11,33.45
2014-02-12,32.6
2014-02-13,32.6
2014-02-14,32.1
2014-02-17,32.25
2014-02-18,32.4
2014-02-19,32.7
2014-02-20,33.0
2014-02-21,35.1
2014-02-24,35.2
2014-02-25,36.15
2014-02-26,36.6
2014-02-28,35.25
2014-03-03,34.3
2014-03-04,35.25
2014-03-05,34.9
2014-03-06,35.9
2014-03-07,35.25
2014-03-10,35.6
2014-03-11,35.85
2014-03-12,35.15
2014-03-13,35.15
2014-03-14,34.45
2014-03-18,35.1
2014-03-19,34.85
2014-03-20,37.55
2014-03-21,40.3
2014-03-22,40.45
2014-03-24,41.55
2014-03-25,41.15
2014-03-26,41.1
2014-03-27,40.65
2014-03-28,42.9
2014-03-31,43.85
2014-04-01,45.65
2014-04-02,46.85
2014-04-03,45.35
2014-04-04,45.9
2014-04-07,46.0
2014-04-09,46.4
2014-04-10,46.45
2014-04-11,45.45
2014-04-15,45.2
2014-04-16,49.2
2014-04-17,49.65
2014-04-21,50.4
2014-04-22,51.75
2014-04-23,50.85
2014-04-25,49.3
2014-04-28,52.65
2014-04-29,52.3
2014-04-30,49.65
2014-05-02,49.25
2014-05-05,49.35
2014-05-06,48.2
2014-05-07,50.75
2014-05-08,51.1
2014-05-09,51.4
2014-05-12,49.05
2014-05-13,50.3
2014-05-14,53.8
2014-05-15,49.65
2014-05-16,50.0
2014-05-19,54.25
2014-05-20,55.0
2014-05-21,58.45
2014-05-22,60.2
2014-05-23,61.1
2014-05-26,61.55
2014-05-27,59.7
2014-05-28,61.85
2014-05-29,60.7
2014-05-30,64.5
2014-06-02,77.25
2014-06-03,73.35
2014-06-04,73.35
2014-06-05,76.15
2014-06-06,82.1
2014-06-09,82.9
2014-06-10,82.4
2014-06-11,80.15
2014-06-12,79.65
2014-06-13,73.55
2014-06-16,71.95
2014-06-17,75.4
2014-06-18,74.3
2014-06-19,75.25
2014-06-20,73.65
2014-06-23,72.7
2014-06-24,76.6
2014-06-25,75.75
2014-06-26,73.95
2014-06-27,75.25
2014-06-30,75.55
2014-07-01,75.05
2014-07-02,71.8
2014-07-03,72.25
2014-07-04,74.1
2014-07-07,80.0
2014-07-08,74.2
2014-07-09,72.05
2014-07-10,76.15
2014-07-11,72.65
2014-07-14,71.05
2014-07-15,75.35
2014-07-16,78.4
2014-07-17,78.4
2014-07-18,79.65
2014-07-21,82.85
2014-07-22,82.6
2014-07-23,81.05
2014-07-24,80.6
2014-07-25,78.05
2014-07-28,76.7
2014-07-30,82.15
2014-07-31,80.4
2014-08-01,80.7
2014-08-04,78.35
2014-08-05,80.5
2014-08-06,85.85
2014-08-07,90.2
2014-08-08,88.7
2014-08-11,86.3
2014-08-12,82.25
2014-08-13,79.15
2014-08-14,81.25
2014-08-18,85.15
2014-08-19,85.1
2014-08-20,85.15
2014-08-21,86.6
2014-08-22,86.55
2014-08-25,86.05
2014-08-26,85.55
2014-08-27,93.55
2014-08-28,75.0
2014-09-01,77.0
2014-09-02,74.9
2014-09-03,68.15
2014-09-04,69.6
2014-09-05,71.65
2014-09-08,73.9
2014-09-09,72.4
2014-09-10,75.5
2014-09-11,77.0
2014-09-12,76.45
2014-09-15,75.0
2014-09-16,69.25
2014-09-17,69.25
2014-09-18,71.6
2014-09-19,70.8
2014-09-22,70.1
2014-09-23,68.45
2014-09-24,65.35
2014-09-25,62.85
2014-09-26,62.6
2014-09-29,63.7
2014-09-30,65.9
2014-10-01,64.4
2014-10-07,63.9
2014-10-08,63.55
2014-10-09,65.35
2014-10-10,64.3
2014-10-13,64.05
2014-10-14,64.5
2014-10-16,63.2
2014-10-17,62.6
2014-10-20,63.25
2014-10-21,62.4
2014-10-22,63.9
2014-10-23,64.75
2014-10-27,70.25
2014-10-28,70.2
2014-10-29,69.5
2014-10-30,70.1
2014-10-31,72.3
2014-11-03,73.25
2014-11-05,73.2
2014-11-07,71.4
2014-11-10,72.15
2014-11-11,75.0
2014-11-12,80.0
2014-11-13,77.95
2014-11-14,78.05
2014-11-17,79.7
2014-11-18,78.3
2014-11-19,76.45
2014-11-20,76.0
2014-11-21,76.0
2014-11-24,75.4
2014-11-25,71.55
2014-11-26,71.35
2014-11-27,72.35
2014-11-28,72.05
2014-12-01,70.8
2014-12-02,70.8
2014-12-03,72.2
2014-12-04,73.7
2014-12-05,70.95
2014-12-08,68.6
2014-12-09,66.95
2014-12-10,67.15
2014-12-11,67.05
2014-12-12,64.4
2014-12-15,66.1
2014-12-16,62.45
2014-12-17,63.3
2014-12-18,67.25
2014-12-19,69.2
2014-12-22,69.4
2014-12-23,67.55
2014-12-24,66.25
2014-12-26,65.05
2014-12-29,65.65
2014-12-30,68.4
2014-12-31,67.45
