Date,PFS
2014-01-01,14.95
2014-01-02,14.1
2014-01-03,14.15
2014-01-06,14.75
2014-01-07,14.5
2014-01-08,14.5
2014-01-09,14.45
2014-01-10,14.25
2014-01-13,14.0
2014-01-14,13.85
2014-01-15,14.05
2014-01-16,14.35
2014-01-17,13.95
2014-01-20,14.05
2014-01-21,13.9
2014-01-22,13.95
2014-01-23,14.05
2014-01-24,13.8
2014-01-27,13.1
2014-01-28,13.35
2014-01-29,13.9
2014-01-30,13.85
2014-01-31,13.8
2014-02-03,13.85
2014-02-04,13.7
2014-02-05,13.8
2014-02-06,13.65
2014-02-07,13.55
2014-02-10,13.35
2014-02-11,13.35
2014-02-12,13.35
2014-02-13,13.0
2014-02-14,12.85
2014-02-17,13.1
2014-02-18,13.25
2014-02-19,13.15
2014-02-20,13.0
2014-02-21,13.25
2014-02-24,13.15
2014-02-25,13.45
2014-02-26,13.35
2014-02-28,13.75
2014-03-03,13.65
2014-03-04,13.8
2014-03-05,13.65
2014-03-06,13.95
2014-03-07,13.85
2014-03-10,13.9
2014-03-11,13.4
2014-03-12,13.65
2014-03-13,13.85
2014-03-14,13.75
2014-03-18,13.7
2014-03-19,13.95
2014-03-20,13.9
2014-03-21,13.95
2014-03-22,14.05
2014-03-24,13.85
2014-03-25,13.75
2014-03-26,14.0
2014-03-27,13.9
2014-03-28,14.1
2014-03-31,14.15
2014-04-01,14.2
2014-04-02,14.35
2014-04-03,14.15
2014-04-04,14.35
2014-04-07,14.3
2014-04-09,14.65
2014-04-10,15.0
2014-04-11,14.85
2014-04-15,14.5
2014-04-16,14.1
2014-04-17,14.65
2014-04-21,15.35
2014-04-22,16.05
2014-04-23,16.3
2014-04-25,17.05
2014-04-28,17.6
2014-04-29,17.6
2014-04-30,17.05
2014-05-02,18.8
2014-05-05,18.75
2014-05-06,18.85
2014-05-07,18.8
2014-05-08,18.55
2014-05-09,18.4
2014-05-12,19.3
2014-05-13,19.35
2014-05-14,19.45
2014-05-15,19.3
2014-05-16,19.3
2014-05-19,21.75
2014-05-20,22.45
2014-05-21,23.4
2014-05-22,24.4
2014-05-23,25.0
2014-05-26,22.95
2014-05-27,24.3
2014-05-28,26.85
2014-05-29,27.75
2014-05-30,26.95
2014-06-02,28.6
2014-06-03,29.35
2014-06-04,30.05
2014-06-05,29.7
2014-06-06,29.0
2014-06-09,33.35
2014-06-10,33.75
2014-06-11,32.35
2014-06-12,32.75
2014-06-13,31.15
2014-06-16,30.2
2014-06-17,31.5
2014-06-18,30.85
2014-06-19,31.25
2014-06-20,30.65
2014-06-23,30.9
2014-06-24,32.75
2014-06-25,32.85
2014-06-26,32.6
2014-06-27,31.55
2014-06-30,32.55
2014-07-01,33.2
2014-07-02,35.15
2014-07-03,35.1
2014-07-04,37.65
2014-07-07,39.4
2014-07-08,35.5
2014-07-09,35.3
2014-07-10,35.8
2014-07-11,33.25
2014-07-14,33.35
2014-07-15,33.0
2014-07-16,32.95
2014-07-17,33.95
2014-07-18,33.4
2014-07-21,34.0
2014-07-22,33.4
2014-07-23,32.45
2014-07-24,32.95
2014-07-25,31.0
2014-07-28,31.8
2014-07-30,32.35
2014-07-31,32.55
2014-08-01,33.25
2014-08-04,36.15
2014-08-05,35.65
2014-08-06,35.5
2014-08-07,35.5
2014-08-08,34.15
2014-08-11,36.7
2014-08-12,37.15
2014-08-13,36.2
2014-08-14,38.05
2014-08-18,41.15
2014-08-19,40.5
2014-08-20,42.0
2014-08-21,43.55
2014-08-22,43.35
2014-08-25,42.95
2014-08-26,41.4
2014-08-27,39.85
2014-08-28,40.8
2014-09-01,43.7
2014-09-02,43.35
2014-09-03,44.3
2014-09-04,44.1
2014-09-05,43.65
2014-09-08,43.7
2014-09-09,44.0
2014-09-10,44.55
2014-09-11,45.35
2014-09-12,46.35
2014-09-15,48.1
2014-09-16,45.75
2014-09-17,46.9
2014-09-18,47.7
2014-09-19,46.65
2014-09-22,46.55
2014-09-23,44.4
2014-09-24,43.15
2014-09-25,41.25
2014-09-26,43.9
2014-09-29,45.2
2014-09-30,45.0
2014-10-01,44.05
2014-10-07,43.4
2014-10-08,44.15
2014-10-09,43.95
2014-10-10,43.65
2014-10-13,43.35
2014-10-14,43.5
2014-10-16,42.95
2014-10-17,43.0
2014-10-20,43.2
2014-10-21,46.4
2014-10-22,47.5
2014-10-23,47.8
2014-10-27,47.25
2014-10-28,47.1
2014-10-29,47.2
2014-10-30,50.1
2014-10-31,50.75
2014-11-03,50.0
2014-11-05,51.75
2014-11-07,54.0
2014-11-10,57.0
2014-11-11,55.65
2014-11-12,56.25
2014-11-13,55.15
2014-11-14,51.8
2014-11-17,54.75
2014-11-18,58.35
2014-11-19,57.7
2014-11-20,56.45
2014-11-21,56.4
2014-11-24,55.05
2014-11-25,53.0
2014-11-26,54.55
2014-11-27,55.25
2014-11-28,55.25
2014-12-01,55.0
2014-12-02,56.4
2014-12-03,57.5
2014-12-04,56.15
2014-12-05,56.1
2014-12-08,55.15
2014-12-09,54.5
2014-12-10,56.4
2014-12-11,56.9
2014-12-12,56.05
2014-12-15,59.2
2014-12-16,57.9
2014-12-17,56.4
2014-12-18,58.9
2014-12-19,63.25
2014-12-22,64.7
2014-12-23,62.15
2014-12-24,63.25
2014-12-26,62.5
2014-12-29,63.05
2014-12-30,65.45
2014-12-31,69.65
