Date,PEL
2014-01-01,550.05
2014-01-02,546.4
2014-01-03,542.65
2014-01-06,555.4
2014-01-07,553.95
2014-01-08,551.05
2014-01-09,550.05
2014-01-10,549.15
2014-01-13,549.95
2014-01-14,550.55
2014-01-15,566.65
2014-01-16,560.05
2014-01-17,560.25
2014-01-20,561.6
2014-01-21,547.1
2014-01-22,560.9
2014-01-23,550.1
2014-01-24,546.7
2014-01-27,547.7
2014-01-28,524.1
2014-01-29,545.55
2014-01-30,545.85
2014-01-31,555.7
2014-02-03,545.0
2014-02-04,545.05
2014-02-05,544.45
2014-02-06,546.85
2014-02-07,549.65
2014-02-10,541.85
2014-02-11,538.45
2014-02-12,529.5
2014-02-13,529.45
2014-02-14,522.9
2014-02-17,522.3
2014-02-18,522.85
2014-02-19,521.95
2014-02-20,515.0
2014-02-21,533.6
2014-02-24,524.3
2014-02-25,518.6
2014-02-26,515.6
2014-02-28,555.05
2014-03-03,534.2
2014-03-04,531.6
2014-03-05,533.05
2014-03-06,528.95
2014-03-07,525.15
2014-03-10,524.95
2014-03-11,521.6
2014-03-12,514.65
2014-03-13,515.2
2014-03-14,511.55
2014-03-18,517.05
2014-03-19,515.2
2014-03-20,517.05
2014-03-21,520.45
2014-03-22,521.95
2014-03-24,519.95
2014-03-25,524.2
2014-03-26,530.05
2014-03-27,529.6
2014-03-28,536.35
2014-03-31,548.5
2014-04-01,541.45
2014-04-02,542.9
2014-04-03,537.25
2014-04-04,529.65
2014-04-07,527.75
2014-04-09,537.95
2014-04-10,553.65
2014-04-11,588.0
2014-04-15,586.85
2014-04-16,597.55
2014-04-17,606.2
2014-04-21,595.35
2014-04-22,587.3
2014-04-23,584.15
2014-04-25,575.7
2014-04-28,561.25
2014-04-29,561.8
2014-04-30,540.55
2014-05-02,546.05
2014-05-05,551.6
2014-05-06,568.75
2014-05-07,579.5
2014-05-08,589.65
2014-05-09,596.4
2014-05-12,590.8
2014-05-13,594.05
2014-05-14,597.45
2014-05-15,596.6
2014-05-16,596.0
2014-05-19,594.65
2014-05-20,606.95
2014-05-21,614.15
2014-05-22,624.65
2014-05-23,639.1
2014-05-26,623.65
2014-05-27,611.25
2014-05-28,613.55
2014-05-29,632.6
2014-05-30,676.05
2014-06-02,697.15
2014-06-03,699.0
2014-06-04,700.0
2014-06-05,710.2
2014-06-06,715.55
2014-06-09,715.95
2014-06-10,711.4
2014-06-11,705.0
2014-06-12,703.9
2014-06-13,696.65
2014-06-16,691.3
2014-06-17,694.6
2014-06-18,728.7
2014-06-19,721.0
2014-06-20,719.5
2014-06-23,712.6
2014-06-24,694.15
2014-06-25,686.85
2014-06-26,689.45
2014-06-27,689.7
2014-06-30,693.15
2014-07-01,697.45
2014-07-02,695.65
2014-07-03,694.45
2014-07-04,692.35
2014-07-07,700.0
2014-07-08,706.05
2014-07-09,699.75
2014-07-10,697.35
2014-07-11,695.95
2014-07-14,698.85
2014-07-15,632.35
2014-07-16,647.15
2014-07-17,645.9
2014-07-18,641.8
2014-07-21,632.9
2014-07-22,631.05
2014-07-23,632.8
2014-07-24,638.2
2014-07-25,623.35
2014-07-28,634.15
2014-07-30,639.5
2014-07-31,649.2
2014-08-01,652.05
2014-08-04,653.15
2014-08-05,643.65
2014-08-06,670.65
2014-08-07,657.5
2014-08-08,653.65
2014-08-11,661.35
2014-08-12,651.8
2014-08-13,677.0
2014-08-14,669.45
2014-08-18,690.9
2014-08-19,701.0
2014-08-20,717.2
2014-08-21,718.85
2014-08-22,716.6
2014-08-25,705.75
2014-08-26,698.95
2014-08-27,680.1
2014-08-28,689.15
2014-09-01,698.0
2014-09-02,677.0
2014-09-03,716.4
2014-09-04,724.85
2014-09-05,737.8
2014-09-08,743.5
2014-09-09,755.2
2014-09-10,741.5
2014-09-11,742.2
2014-09-12,742.05
2014-09-15,743.3
2014-09-16,767.4
2014-09-17,786.1
2014-09-18,789.25
2014-09-19,769.25
2014-09-22,762.0
2014-09-23,766.45
2014-09-24,799.55
2014-09-25,786.9
2014-09-26,754.05
2014-09-29,768.4
2014-09-30,766.45
2014-10-01,752.7
2014-10-07,732.8
2014-10-08,701.5
2014-10-09,713.65
2014-10-10,709.7
2014-10-13,709.9
2014-10-14,707.35
2014-10-16,675.6
2014-10-17,674.95
2014-10-20,683.0
2014-10-21,689.6
2014-10-22,684.55
2014-10-23,697.3
2014-10-27,745.95
2014-10-28,737.15
2014-10-29,769.6
2014-10-30,786.15
2014-10-31,806.45
2014-11-03,800.6
2014-11-05,800.15
2014-11-07,809.25
2014-11-10,813.25
2014-11-11,803.85
2014-11-12,842.8
2014-11-13,817.3
2014-11-14,813.15
2014-11-17,813.75
2014-11-18,812.5
2014-11-19,833.0
2014-11-20,845.1
2014-11-21,844.1
2014-11-24,848.05
2014-11-25,827.2
2014-11-26,810.2
2014-11-27,809.45
2014-11-28,809.65
2014-12-01,788.75
2014-12-02,801.95
2014-12-03,827.05
2014-12-04,833.15
2014-12-05,838.35
2014-12-08,839.25
2014-12-09,808.4
2014-12-10,837.75
2014-12-11,797.9
2014-12-12,794.95
2014-12-15,794.15
2014-12-16,781.05
2014-12-17,777.55
2014-12-18,795.05
2014-12-19,805.1
2014-12-22,812.35
2014-12-23,805.4
2014-12-24,811.6
2014-12-26,809.65
2014-12-29,810.25
2014-12-30,819.75
2014-12-31,833.7
