Date,DQE
2014-01-01,48.15
2014-01-02,45.75
2014-01-03,43.5
2014-01-06,41.35
2014-01-07,43.4
2014-01-08,41.5
2014-01-09,40.2
2014-01-10,38.2
2014-01-13,40.1
2014-01-14,41.55
2014-01-15,39.5
2014-01-16,37.55
2014-01-17,35.7
2014-01-20,34.45
2014-01-21,34.0
2014-01-22,35.7
2014-01-23,37.45
2014-01-24,39.3
2014-01-27,38.15
2014-01-28,36.45
2014-01-29,36.75
2014-01-30,35.85
2014-01-31,37.6
2014-02-03,36.4
2014-02-04,37.75
2014-02-05,36.3
2014-02-06,36.2
2014-02-07,36.3
2014-02-10,35.3
2014-02-11,35.55
2014-02-12,35.35
2014-02-13,37.1
2014-02-14,38.95
2014-02-17,37.05
2014-02-18,35.2
2014-02-19,33.45
2014-02-20,32.0
2014-02-21,31.45
2014-02-24,32.3
2014-02-25,32.8
2014-02-26,32.3
2014-02-28,31.75
2014-03-03,31.55
2014-03-04,30.75
2014-03-05,30.75
2014-03-06,32.25
2014-03-07,32.45
2014-03-10,33.55
2014-03-11,33.65
2014-03-12,33.0
2014-03-13,32.1
2014-03-14,32.1
2014-03-18,31.5
2014-03-19,31.0
2014-03-20,31.7
2014-03-21,31.0
2014-03-22,30.3
2014-03-24,30.6
2014-03-25,30.15
2014-03-26,27.55
2014-03-27,27.95
2014-03-28,27.1
2014-03-31,27.4
2014-04-01,28.05
2014-04-02,29.05
2014-04-03,28.5
2014-04-04,28.5
2014-04-07,28.05
2014-04-09,29.0
2014-04-10,28.8
2014-04-11,28.7
2014-04-15,29.5
2014-04-16,28.5
2014-04-17,28.7
2014-04-21,29.2
2014-04-22,29.2
2014-04-23,29.45
2014-04-25,29.05
2014-04-28,28.5
2014-04-29,28.45
2014-04-30,28.0
2014-05-02,28.15
2014-05-05,28.05
2014-05-06,27.95
2014-05-07,30.7
2014-05-08,35.05
2014-05-09,33.1
2014-05-12,32.9
2014-05-13,32.0
2014-05-14,32.3
2014-05-15,32.05
2014-05-16,31.35
2014-05-19,30.8
2014-05-20,32.15
2014-05-21,35.85
2014-05-22,35.7
2014-05-23,36.0
2014-05-26,34.2
2014-05-27,33.2
2014-05-28,34.1
2014-05-29,32.3
2014-05-30,31.4
2014-06-02,32.5
2014-06-03,27.4
2014-06-04,28.0
2014-06-05,28.95
2014-06-06,28.3
2014-06-09,27.45
2014-06-10,28.75
2014-06-11,31.2
2014-06-12,31.0
2014-06-13,28.4
2014-06-16,28.4
2014-06-17,29.9
2014-06-18,29.55
2014-06-19,29.2
2014-06-20,28.4
2014-06-23,27.3
2014-06-24,27.65
2014-06-25,26.35
2014-06-26,26.45
2014-06-27,31.7
2014-06-30,34.5
2014-07-01,34.9
2014-07-02,33.6
2014-07-03,32.4
2014-07-04,31.4
2014-07-07,31.85
2014-07-08,29.85
2014-07-09,28.65
2014-07-10,29.75
2014-07-11,28.6
2014-07-14,27.05
2014-07-15,28.4
2014-07-16,28.55
2014-07-17,28.4
2014-07-18,27.65
2014-07-21,27.2
2014-07-22,26.9
2014-07-23,26.95
2014-07-24,26.3
2014-07-25,24.9
2014-07-28,25.4
2014-07-30,22.45
2014-07-31,21.8
2014-08-01,23.9
2014-08-04,23.3
2014-08-05,23.95
2014-08-06,22.85
2014-08-07,22.65
2014-08-08,22.65
2014-08-11,23.2
2014-08-12,22.85
2014-08-13,22.85
2014-08-14,21.3
2014-08-18,17.55
2014-08-19,18.15
2014-08-20,18.65
2014-08-21,17.95
2014-08-22,18.55
2014-08-25,18.1
2014-08-26,17.75
2014-08-27,17.9
2014-08-28,17.75
2014-09-01,18.15
2014-09-02,18.0
2014-09-03,18.0
2014-09-04,17.45
2014-09-05,17.65
2014-09-08,20.1
2014-09-09,19.5
2014-09-10,18.8
2014-09-11,19.4
2014-09-12,20.65
2014-09-15,22.1
2014-09-16,21.3
2014-09-17,21.75
2014-09-18,23.75
2014-09-19,24.2
2014-09-22,24.45
2014-09-23,23.0
2014-09-24,22.3
2014-09-25,20.9
2014-09-26,21.0
2014-09-29,25.2
2014-09-30,25.55
2014-10-01,24.95
2014-10-07,28.4
2014-10-08,27.95
2014-10-09,27.9
2014-10-10,26.9
2014-10-13,26.25
2014-10-14,26.0
2014-10-16,24.7
2014-10-17,24.8
2014-10-20,24.5
2014-10-21,24.35
2014-10-22,24.8
2014-10-23,25.2
2014-10-27,24.35
2014-10-28,23.85
2014-10-29,23.8
2014-10-30,26.35
2014-10-31,25.65
2014-11-03,26.25
2014-11-05,25.0
2014-11-07,24.5
2014-11-10,24.25
2014-11-11,24.3
2014-11-12,24.7
2014-11-13,25.1
2014-11-14,26.3
2014-11-17,26.95
2014-11-18,26.95
2014-11-19,26.2
2014-11-20,25.45
2014-11-21,25.65
2014-11-24,25.25
2014-11-25,24.4
2014-11-26,24.45
2014-11-27,24.8
2014-11-28,25.0
2014-12-01,24.75
2014-12-02,24.7
2014-12-03,26.85
2014-12-04,27.2
2014-12-05,27.2
2014-12-08,27.65
2014-12-09,28.75
2014-12-10,30.35
2014-12-11,29.45
2014-12-12,27.45
2014-12-15,27.6
2014-12-16,25.55
2014-12-17,24.45
2014-12-18,25.35
2014-12-19,25.25
2014-12-22,25.65
2014-12-23,24.9
2014-12-24,24.9
2014-12-26,26.35
2014-12-29,26.35
2014-12-30,26.15
2014-12-31,27.1
