Date,DCM
2014-01-01,73.95
2014-01-02,74.85
2014-01-03,73.8
2014-01-06,74.05
2014-01-07,74.6
2014-01-08,75.05
2014-01-09,72.65
2014-01-10,72.05
2014-01-13,72.25
2014-01-14,71.6
2014-01-15,72.0
2014-01-16,72.0
2014-01-17,69.65
2014-01-20,68.65
2014-01-21,70.6
2014-01-22,70.8
2014-01-23,71.1
2014-01-24,69.95
2014-01-27,68.5
2014-01-28,69.85
2014-01-29,70.0
2014-01-30,68.95
2014-01-31,69.55
2014-02-03,70.95
2014-02-04,70.05
2014-02-05,71.05
2014-02-06,71.1
2014-02-07,70.7
2014-02-10,71.65
2014-02-11,70.95
2014-02-12,71.4
2014-02-13,75.05
2014-02-14,72.55
2014-02-17,72.3
2014-02-18,71.05
2014-02-19,74.25
2014-02-20,79.65
2014-02-21,79.2
2014-02-24,90.7
2014-02-25,92.6
2014-02-26,89.65
2014-02-28,90.0
2014-03-03,86.3
2014-03-04,86.05
2014-03-05,84.85
2014-03-06,93.0
2014-03-07,90.6
2014-03-10,91.45
2014-03-11,91.8
2014-03-12,90.15
2014-03-13,87.0
2014-03-14,86.15
2014-03-18,90.1
2014-03-19,93.55
2014-03-20,89.3
2014-03-21,88.7
2014-03-22,90.15
2014-03-24,87.25
2014-03-25,86.25
2014-03-26,84.05
2014-03-27,84.85
2014-03-28,85.9
2014-03-31,86.0
2014-04-01,89.5
2014-04-02,89.75
2014-04-03,87.55
2014-04-04,86.4
2014-04-07,85.05
2014-04-09,86.8
2014-04-10,85.85
2014-04-11,84.45
2014-04-15,80.3
2014-04-16,78.75
2014-04-17,80.9
2014-04-21,80.65
2014-04-22,81.65
2014-04-23,80.9
2014-04-25,79.15
2014-04-28,80.9
2014-04-29,79.6
2014-04-30,77.75
2014-05-02,76.25
2014-05-05,75.75
2014-05-06,75.8
2014-05-07,78.1
2014-05-08,82.45
2014-05-09,79.25
2014-05-12,76.95
2014-05-13,77.15
2014-05-14,77.8
2014-05-15,76.95
2014-05-16,77.95
2014-05-19,81.0
2014-05-20,83.1
2014-05-21,89.15
2014-05-22,91.65
2014-05-23,92.1
2014-05-26,84.9
2014-05-27,84.9
2014-05-28,86.85
2014-05-29,83.6
2014-05-30,83.45
2014-06-02,85.3
2014-06-03,89.05
2014-06-04,88.25
2014-06-05,92.0
2014-06-06,93.0
2014-06-09,97.4
2014-06-10,99.45
2014-06-11,96.95
2014-06-12,96.2
2014-06-13,89.7
2014-06-16,88.1
2014-06-17,89.55
2014-06-18,94.95
2014-06-19,91.95
2014-06-20,91.45
2014-06-23,94.7
2014-06-24,93.25
2014-06-25,93.0
2014-06-26,92.05
2014-06-27,94.7
2014-06-30,97.0
2014-07-01,96.55
2014-07-02,103.0
2014-07-03,104.0
2014-07-04,107.85
2014-07-07,111.45
2014-07-08,100.35
2014-07-09,96.95
2014-07-10,97.65
2014-07-11,92.35
2014-07-14,93.35
2014-07-15,94.4
2014-07-16,95.95
2014-07-17,96.1
2014-07-18,98.9
2014-07-21,102.55
2014-07-22,97.85
2014-07-23,100.8
2014-07-24,97.55
2014-07-25,95.35
2014-07-28,94.95
2014-07-30,100.8
2014-07-31,96.35
2014-08-01,95.4
2014-08-04,95.6
2014-08-05,97.85
2014-08-06,96.95
2014-08-07,94.85
2014-08-08,92.35
2014-08-11,92.25
2014-08-12,91.5
2014-08-13,89.85
2014-08-14,93.35
2014-08-18,84.1
2014-08-19,85.35
2014-08-20,85.95
2014-08-21,85.85
2014-08-22,84.65
2014-08-25,83.15
2014-08-26,82.0
2014-08-27,81.9
2014-08-28,81.5
2014-09-01,81.6
2014-09-02,80.85
2014-09-03,80.7
2014-09-04,80.0
2014-09-05,79.7
2014-09-08,83.8
2014-09-09,89.8
2014-09-10,92.55
2014-09-11,96.05
2014-09-12,96.55
2014-09-15,93.45
2014-09-16,89.0
2014-09-17,88.3
2014-09-18,88.1
2014-09-19,88.65
2014-09-22,88.65
2014-09-23,85.8
2014-09-24,84.9
2014-09-25,83.3
2014-09-26,85.75
2014-09-29,83.65
2014-09-30,82.35
2014-10-01,81.2
2014-10-07,83.4
2014-10-08,81.9
2014-10-09,83.2
2014-10-10,82.7
2014-10-13,82.3
2014-10-14,81.35
2014-10-16,79.45
2014-10-17,77.8
2014-10-20,77.5
2014-10-21,77.1
2014-10-22,76.75
2014-10-23,77.55
2014-10-27,78.0
2014-10-28,77.75
2014-10-29,77.85
2014-10-30,78.7
2014-10-31,79.6
2014-11-03,86.35
2014-11-05,87.8
2014-11-07,85.4
2014-11-10,84.1
2014-11-11,89.05
2014-11-12,86.5
2014-11-13,82.55
2014-11-14,81.8
2014-11-17,78.05
2014-11-18,81.35
2014-11-19,79.95
2014-11-20,79.95
2014-11-21,79.5
2014-11-24,80.8
2014-11-25,79.8
2014-11-26,80.35
2014-11-27,79.4
2014-11-28,79.95
2014-12-01,78.2
2014-12-02,77.65
2014-12-03,78.95
2014-12-04,78.45
2014-12-05,76.9
2014-12-08,76.7
2014-12-09,80.05
2014-12-10,82.7
2014-12-11,82.55
2014-12-12,79.75
2014-12-15,80.3
2014-12-16,77.0
2014-12-17,92.4
2014-12-18,93.25
2014-12-19,98.0
2014-12-22,101.85
2014-12-23,99.6
2014-12-24,98.65
2014-12-26,102.4
2014-12-29,99.95
2014-12-30,98.65
2014-12-31,99.4
