Date,DHFL
2012-01-02,186.35
2012-01-03,204.05
2012-01-04,194.15
2012-01-05,187.55
2012-01-06,184.35
2012-01-07,185.35
2012-01-09,179.85
2012-01-10,181.6
2012-01-11,180.85
2012-01-12,177.7
2012-01-13,200.95
2012-01-16,203.45
2012-01-17,202.85
2012-01-18,204.4
2012-01-19,200.2
2012-01-20,202.8
2012-01-23,212.65
2012-01-24,221.45
2012-01-25,229.1
2012-01-27,229.25
2012-01-30,225.65
2012-01-31,233.85
2012-02-01,242.35
2012-02-02,239.5
2012-02-03,246.5
2012-02-06,252.55
2012-02-07,258.65
2012-02-08,264.45
2012-02-09,257.4
2012-02-10,253.2
2012-02-13,245.0
2012-02-14,258.95
2012-02-15,257.2
2012-02-16,255.25
2012-02-17,256.15
2012-02-21,256.7
2012-02-22,260.25
2012-02-23,257.7
2012-02-24,249.95
2012-02-27,253.45
2012-02-28,251.6
2012-02-29,250.15
2012-03-01,249.75
2012-03-02,248.8
2012-03-03,250.15
2012-03-05,247.4
2012-03-06,243.8
2012-03-07,240.95
2012-03-09,244.3
2012-03-12,250.6
2012-03-13,248.75
2012-03-14,248.6
2012-03-15,244.6
2012-03-16,257.35
2012-03-19,249.7
2012-03-20,248.75
2012-03-21,247.05
2012-03-22,241.65
2012-03-23,234.6
2012-03-26,233.0
2012-03-27,230.2
2012-03-28,237.95
2012-03-29,235.65
2012-03-30,239.25
2012-04-02,237.9
2012-04-03,241.6
2012-04-04,239.95
2012-04-09,238.2
2012-04-10,246.1
2012-04-11,252.95
2012-04-12,252.5
2012-04-13,243.4
2012-04-16,249.65
2012-04-17,245.45
2012-04-18,236.85
2012-04-19,232.85
2012-04-20,231.5
2012-04-23,229.95
2012-04-24,228.15
2012-04-25,226.35
2012-04-26,220.6
2012-04-27,219.2
2012-04-28,219.2
2012-04-30,219.0
2012-05-02,220.4
2012-05-03,219.35
2012-05-04,219.35
2012-05-07,218.95
2012-05-08,218.0
2012-05-09,214.0
2012-05-10,207.0
2012-05-11,204.15
2012-05-14,180.85
2012-05-15,179.85
2012-05-16,174.2
2012-05-17,169.4
2012-05-18,175.3
2012-05-21,177.8
2012-05-22,180.15
2012-05-23,183.35
2012-05-24,188.4
2012-05-25,192.15
2012-05-28,191.7
2012-05-29,184.4
2012-05-30,185.05
2012-05-31,186.8
2012-06-01,175.75
2012-06-04,172.9
2012-06-05,174.0
2012-06-06,180.2
2012-06-07,182.7
2012-06-08,176.85
2012-06-11,176.65
2012-06-12,172.05
2012-06-13,171.6
2012-06-14,166.4
2012-06-15,162.65
2012-06-18,160.35
2012-06-19,156.2
2012-06-20,157.05
2012-06-21,161.5
2012-06-22,160.85
2012-06-25,163.75
2012-06-26,161.9
2012-06-27,161.85
2012-06-28,162.2
2012-06-29,165.4
2012-07-02,172.8
2012-07-03,181.5
2012-07-04,177.9
2012-07-05,183.45
2012-07-06,183.2
2012-07-09,156.8
2012-07-09,156.8
2012-07-10,165.95
2012-07-11,167.7
2012-07-12,164.9
2012-07-13,165.2
2012-07-16,171.95
2012-07-17,168.55
2012-07-18,168.25
2012-07-19,166.4
2012-07-20,164.0
2012-07-23,158.9
2012-07-24,157.95
2012-07-25,153.55
2012-07-26,147.95
2012-07-27,145.2
2012-07-30,145.55
2012-07-31,145.05
2012-08-01,157.45
2012-08-02,159.5
2012-08-03,156.05
2012-08-06,158.1
2012-08-07,166.15
2012-08-08,162.9
2012-08-09,167.5
2012-08-10,159.9
2012-08-13,164.35
2012-08-14,159.5
2012-08-16,161.9
2012-08-17,162.3
2012-08-21,165.1
2012-08-22,165.65
2012-08-23,169.45
2012-08-24,168.6
2012-08-27,169.5
2012-08-28,168.8
2012-08-29,168.65
2012-08-30,167.4
2012-08-31,167.0
2012-09-03,165.9
2012-09-04,165.3
2012-09-05,164.6
2012-09-06,163.75
2012-09-07,161.25
2012-09-08,164.75
2012-09-10,164.95
2012-09-11,169.05
2012-09-12,167.05
2012-09-13,167.2
2012-09-14,175.15
2012-09-17,178.35
2012-09-18,185.4
2012-09-20,183.8
2012-09-21,192.55
2012-09-24,193.75
2012-09-25,196.9
2012-09-26,198.5
2012-09-27,195.35
2012-09-28,200.75
2012-10-01,196.3
2012-10-03,191.85
2012-10-04,209.0
2012-10-05,208.2
2012-10-08,199.45
2012-10-09,195.7
2012-10-10,189.65
2012-10-11,192.55
2012-10-12,192.75
2012-10-15,193.65
2012-10-16,190.8
2012-10-17,191.05
2012-10-18,195.35
2012-10-19,195.55
2012-10-22,197.65
2012-10-23,205.6
2012-10-25,213.55
2012-10-26,205.2
2012-10-29,204.65
2012-10-30,193.95
2012-10-31,191.45
2012-11-01,201.95
2012-11-02,197.55
2012-11-05,201.1
2012-11-06,202.45
2012-11-07,206.9
2012-11-08,206.25
2012-11-09,198.0
2012-11-12,202.7
2012-11-13,205.15
2012-11-15,200.7
2012-11-16,199.5
2012-11-19,195.5
2012-11-20,196.55
2012-11-21,197.75
2012-11-22,183.05
2012-11-23,189.35
2012-11-26,189.8
2012-11-27,193.35
2012-11-29,195.8
2012-11-30,200.2
2012-12-03,203.35
2012-12-04,198.6
2012-12-05,198.3
2012-12-06,198.75
2012-12-07,199.45
2012-12-10,201.1
2012-12-11,195.05
2012-12-12,192.75
2012-12-13,185.55
2012-12-14,187.95
2012-12-17,190.1
2012-12-18,187.65
2012-12-19,183.35
2012-12-20,179.8
2012-12-21,175.75
2012-12-24,177.75
2012-12-26,176.8
2012-12-27,177.05
2012-12-28,178.5
2012-12-31,180.9
