Date,RELCAPITAL
2012-01-02,232.75
2012-01-03,248.45
2012-01-04,245.55
2012-01-05,247.35
2012-01-06,259.75
2012-01-07,261.95
2012-01-09,261.15
2012-01-10,281.3
2012-01-11,281.8
2012-01-12,281.05
2012-01-13,299.65
2012-01-16,299.85
2012-01-17,312.2
2012-01-18,317.85
2012-01-19,329.9
2012-01-20,323.4
2012-01-23,327.15
2012-01-24,339.6
2012-01-25,345.7
2012-01-27,342.7
2012-01-30,353.25
2012-01-31,359.9
2012-02-01,368.4
2012-02-02,368.65
2012-02-03,373.9
2012-02-06,386.3
2012-02-07,374.55
2012-02-08,405.95
2012-02-09,425.1
2012-02-10,409.0
2012-02-13,420.1
2012-02-14,423.8
2012-02-15,431.85
2012-02-16,441.8
2012-02-17,444.25
2012-02-21,465.3
2012-02-22,443.4
2012-02-23,420.4
2012-02-24,409.8
2012-02-27,370.9
2012-02-28,405.5
2012-02-29,404.05
2012-03-01,427.75
2012-03-02,423.15
2012-03-03,427.25
2012-03-05,427.85
2012-03-06,401.95
2012-03-07,408.95
2012-03-09,420.25
2012-03-12,428.3
2012-03-13,433.2
2012-03-14,434.95
2012-03-15,409.05
2012-03-16,400.0
2012-03-19,386.25
2012-03-20,393.3
2012-03-21,417.85
2012-03-22,391.3
2012-03-23,401.05
2012-03-26,383.8
2012-03-27,392.4
2012-03-28,379.75
2012-03-29,387.85
2012-03-30,392.4
2012-04-02,398.9
2012-04-03,403.35
2012-04-04,394.75
2012-04-09,387.55
2012-04-10,380.55
2012-04-11,360.35
2012-04-12,361.6
2012-04-13,350.05
2012-04-16,346.3
2012-04-17,366.7
2012-04-18,357.8
2012-04-19,348.8
2012-04-20,338.7
2012-04-23,325.75
2012-04-24,327.15
2012-04-25,322.35
2012-04-26,324.2
2012-04-27,322.55
2012-04-28,323.75
2012-04-30,329.35
2012-05-02,329.35
2012-05-03,319.25
2012-05-04,308.8
2012-05-07,316.2
2012-05-08,300.3
2012-05-09,292.3
2012-05-10,290.95
2012-05-11,294.4
2012-05-14,289.6
2012-05-15,295.1
2012-05-16,288.2
2012-05-17,292.05
2012-05-18,290.8
2012-05-21,313.95
2012-05-22,307.5
2012-05-23,309.95
2012-05-24,317.95
2012-05-25,320.1
2012-05-28,323.5
2012-05-29,318.35
2012-05-30,307.0
2012-05-31,308.35
2012-06-01,298.65
2012-06-04,300.15
2012-06-05,300.9
2012-06-06,314.6
2012-06-07,337.15
2012-06-08,339.8
2012-06-11,333.05
2012-06-12,344.6
2012-06-13,344.4
2012-06-14,332.7
2012-06-15,346.2
2012-06-18,330.9
2012-06-19,333.15
2012-06-20,336.45
2012-06-21,344.5
2012-06-22,352.7
2012-06-25,349.4
2012-06-26,343.75
2012-06-27,343.2
2012-06-28,342.4
2012-06-29,358.45
2012-07-02,361.5
2012-07-03,377.45
2012-07-04,380.0
2012-07-05,381.95
2012-07-06,374.5
2012-07-09,366.9
2012-07-10,381.9
2012-07-11,373.85
2012-07-12,366.2
2012-07-13,360.1
2012-07-16,355.5
2012-07-17,348.8
2012-07-18,354.6
2012-07-19,351.7
2012-07-20,351.65
2012-07-23,335.65
2012-07-24,340.1
2012-07-25,334.5
2012-07-26,321.1
2012-07-27,321.1
2012-07-30,335.6
2012-07-31,334.0
2012-08-01,341.85
2012-08-02,343.55
2012-08-03,336.35
2012-08-06,350.2
2012-08-07,361.75
2012-08-08,353.5
2012-08-09,351.85
2012-08-10,340.0
2012-08-13,353.9
2012-08-14,359.35
2012-08-16,358.75
2012-08-17,352.35
2012-08-21,371.55
2012-08-22,364.6
2012-08-23,352.3
2012-08-24,344.3
2012-08-27,332.6
2012-08-28,328.2
2012-08-29,321.25
2012-08-30,320.1
2012-08-31,319.8
2012-09-03,320.25
2012-09-04,331.55
2012-09-05,330.25
2012-09-06,329.0
2012-09-07,335.65
2012-09-08,337.15
2012-09-10,337.85
2012-09-11,340.9
2012-09-12,341.15
2012-09-13,339.7
2012-09-14,352.45
2012-09-17,373.3
2012-09-18,374.45
2012-09-20,362.6
2012-09-21,399.9
2012-09-24,409.0
2012-09-25,410.0
2012-09-26,421.2
2012-09-27,432.25
2012-09-28,431.45
2012-10-01,444.2
2012-10-03,444.3
2012-10-04,452.65
2012-10-05,456.1
2012-10-08,448.3
2012-10-09,455.9
2012-10-10,443.65
2012-10-11,458.25
2012-10-12,452.05
2012-10-15,454.5
2012-10-16,438.85
2012-10-17,444.05
2012-10-18,455.45
2012-10-19,440.9
2012-10-22,444.55
2012-10-23,440.1
2012-10-25,430.45
2012-10-26,417.4
2012-10-29,413.35
2012-10-30,398.35
2012-10-31,381.95
2012-11-01,387.2
2012-11-02,392.2
2012-11-05,394.55
2012-11-06,394.6
2012-11-07,406.55
2012-11-08,401.05
2012-11-09,390.05
2012-11-12,394.2
2012-11-13,392.45
2012-11-15,386.7
2012-11-16,379.6
2012-11-19,376.05
2012-11-20,376.15
2012-11-21,381.0
2012-11-22,384.5
2012-11-23,382.9
2012-11-26,393.85
2012-11-27,402.15
2012-11-29,412.0
2012-11-30,423.95
2012-12-03,423.5
2012-12-04,435.8
2012-12-05,436.15
2012-12-06,453.2
2012-12-07,446.55
2012-12-10,458.95
2012-12-11,453.35
2012-12-12,472.2
2012-12-13,460.05
2012-12-14,465.5
2012-12-17,470.15
2012-12-18,479.8
2012-12-19,484.85
2012-12-20,472.05
2012-12-21,463.85
2012-12-24,474.1
2012-12-26,481.05
2012-12-27,478.3
2012-12-28,478.3
2012-12-31,479.8
