Date,VASWANI
2012-01-02,10.55
2012-01-03,10.85
2012-01-04,11.35
2012-01-05,11.75
2012-01-06,12.0
2012-01-07,12.0
2012-01-09,12.0
2012-01-10,12.55
2012-01-11,12.5
2012-01-12,11.9
2012-01-13,11.6
2012-01-16,11.5
2012-01-17,12.05
2012-01-18,12.05
2012-01-19,11.85
2012-01-20,11.7
2012-01-23,11.35
2012-01-24,11.5
2012-01-25,11.45
2012-01-27,11.15
2012-01-30,10.95
2012-01-31,11.15
2012-02-01,11.0
2012-02-02,11.5
2012-02-03,11.55
2012-02-06,11.6
2012-02-07,11.05
2012-02-08,10.55
2012-02-09,10.5
2012-02-10,10.8
2012-02-13,10.7
2012-02-14,10.45
2012-02-15,10.45
2012-02-16,10.4
2012-02-17,10.45
2012-02-21,10.65
2012-02-22,10.35
2012-02-23,10.85
2012-02-24,11.0
2012-02-27,10.45
2012-02-28,10.15
2012-02-29,10.15
2012-03-01,10.0
2012-03-02,9.95
2012-03-03,10.1
2012-03-05,9.9
2012-03-06,9.8
2012-03-07,9.85
2012-03-09,10.0
2012-03-12,10.3
2012-03-13,9.95
2012-03-14,9.95
2012-03-15,9.8
2012-03-16,9.7
2012-03-19,9.45
2012-03-20,8.8
2012-03-21,8.85
2012-03-22,8.85
2012-03-23,9.0
2012-03-26,8.75
2012-03-27,8.6
2012-03-28,8.3
2012-03-29,8.3
2012-03-30,8.0
2012-04-02,8.0
2012-04-03,8.05
2012-04-04,8.05
2012-04-09,8.0
2012-04-10,8.0
2012-04-11,8.0
2012-04-12,8.0
2012-04-13,7.95
2012-04-16,8.0
2012-04-17,8.0
2012-04-18,8.0
2012-04-19,8.0
2012-04-20,8.0
2012-04-23,7.9
2012-04-24,7.95
2012-04-25,7.95
2012-04-26,7.95
2012-04-27,8.0
2012-04-28,8.2
2012-04-30,8.3
2012-05-02,8.85
2012-05-03,8.6
2012-05-04,9.2
2012-05-07,9.2
2012-05-08,9.05
2012-05-09,8.7
2012-05-10,8.75
2012-05-11,8.85
2012-05-14,8.95
2012-05-15,8.4
2012-05-16,8.55
2012-05-17,8.2
2012-05-18,8.2
2012-05-21,8.3
2012-05-22,8.45
2012-05-23,8.35
2012-05-24,8.3
2012-05-25,8.3
2012-05-28,8.35
2012-05-29,8.0
2012-05-30,7.45
2012-05-31,7.5
2012-06-01,7.5
2012-06-04,7.35
2012-06-05,7.35
2012-06-06,7.0
2012-06-07,7.2
2012-06-08,7.15
2012-06-11,6.9
2012-06-12,7.0
2012-06-13,7.0
2012-06-14,6.85
2012-06-15,6.6
2012-06-18,6.25
2012-06-19,6.45
2012-06-20,6.85
2012-06-21,6.9
2012-06-22,6.85
2012-06-25,6.95
2012-06-26,6.9
2012-06-27,6.7
2012-06-28,6.75
2012-06-29,6.9
2012-07-02,6.5
2012-07-03,6.65
2012-07-04,6.55
2012-07-05,6.7
2012-07-06,6.8
2012-07-09,6.65
2012-07-10,6.8
2012-07-11,6.75
2012-07-12,6.8
2012-07-13,7.05
2012-07-16,6.8
2012-07-17,6.5
2012-07-18,6.6
2012-07-19,6.6
2012-07-20,6.65
2012-07-23,6.5
2012-07-24,6.6
2012-07-25,6.85
2012-07-26,6.8
2012-07-27,6.35
2012-07-30,6.55
2012-07-31,6.55
2012-08-01,6.35
2012-08-02,6.45
2012-08-03,6.15
2012-08-06,6.05
2012-08-07,5.85
2012-08-08,5.95
2012-08-09,6.0
2012-08-10,5.85
2012-08-13,5.9
2012-08-14,5.85
2012-08-16,5.7
2012-08-17,5.85
2012-08-21,5.8
2012-08-22,5.8
2012-08-23,5.55
2012-08-24,5.4
2012-08-27,4.95
2012-08-28,4.1
2012-08-29,3.85
2012-08-30,4.2
2012-08-31,4.6
2012-09-03,5.05
2012-09-04,4.8
2012-09-05,4.65
2012-09-06,4.75
2012-09-07,4.85
2012-09-08,5.0
2012-09-10,5.05
2012-09-11,4.85
2012-09-12,4.75
2012-09-13,4.65
2012-09-14,4.85
2012-09-17,4.7
2012-09-18,4.7
2012-09-20,4.5
2012-09-21,4.35
2012-09-24,4.2
2012-09-25,4.2
2012-09-26,4.1
2012-09-27,4.3
2012-09-28,4.25
2012-10-01,4.4
2012-10-03,4.55
2012-10-04,4.75
2012-10-05,4.65
2012-10-08,4.45
2012-10-09,4.45
2012-10-10,4.45
2012-10-11,4.25
2012-10-12,4.1
2012-10-15,4.15
2012-10-16,4.3
2012-10-17,4.1
2012-10-18,4.05
2012-10-19,4.15
2012-10-22,4.15
2012-10-23,4.1
2012-10-25,4.25
2012-10-26,4.1
2012-10-29,4.1
2012-10-30,4.05
2012-10-31,4.1
2012-11-01,4.1
2012-11-02,4.0
2012-11-05,4.15
2012-11-06,4.05
2012-11-07,4.1
2012-11-08,4.15
2012-11-09,4.2
2012-11-12,4.15
2012-11-13,4.15
2012-11-15,4.3
2012-11-16,4.1
2012-11-19,4.1
2012-11-20,4.15
2012-11-21,4.1
2012-11-22,3.95
2012-11-23,4.05
2012-11-26,4.1
2012-11-27,4.0
2012-11-29,4.05
2012-11-30,4.05
2012-12-03,3.95
2012-12-04,4.0
2012-12-05,4.05
2012-12-06,4.1
2012-12-07,4.0
2012-12-10,4.05
2012-12-11,4.0
2012-12-12,4.1
2012-12-13,4.2
2012-12-14,4.1
2012-12-17,4.25
2012-12-18,4.3
2012-12-19,4.15
2012-12-20,4.3
2012-12-21,4.25
2012-12-24,4.35
2012-12-26,4.75
2012-12-27,5.2
2012-12-28,5.45
2012-12-31,5.7
