Date,PRADIP
2012-01-02,93.7
2012-01-03,96.05
2012-01-04,98.15
2012-01-05,96.1
2012-01-06,91.75
2012-01-07,90.5
2012-01-09,92.5
2012-01-10,97.9
2012-01-11,104.35
2012-01-12,103.2
2012-01-13,103.95
2012-01-16,106.8
2012-01-17,109.45
2012-01-18,110.35
2012-01-19,105.45
2012-01-20,103.8
2012-01-23,101.25
2012-01-24,98.9
2012-01-25,95.4
2012-01-27,93.95
2012-01-30,89.2
2012-01-31,94.3
2012-02-01,97.8
2012-02-02,99.05
2012-02-03,95.35
2012-02-06,93.6
2012-02-07,91.0
2012-02-08,89.05
2012-02-09,86.65
2012-02-10,86.1
2012-02-13,87.2
2012-02-14,88.1
2012-02-15,87.55
2012-02-16,87.9
2012-02-17,90.05
2012-02-21,90.25
2012-02-22,87.1
2012-02-23,84.2
2012-02-24,78.8
2012-02-27,79.85
2012-02-28,78.4
2012-02-29,75.55
2012-03-01,82.45
2012-03-02,87.25
2012-03-03,89.55
2012-03-05,88.7
2012-03-06,89.3
2012-03-07,82.85
2012-03-09,84.45
2012-03-12,84.8
2012-03-13,85.35
2012-03-14,87.1
2012-03-15,90.65
2012-03-16,83.95
2012-03-19,84.65
2012-03-20,85.85
2012-03-21,87.3
2012-03-22,80.2
2012-03-23,80.6
2012-03-26,74.1
2012-03-27,72.25
2012-03-28,64.3
2012-03-29,68.65
2012-03-30,71.3
2012-04-02,75.1
2012-04-03,78.65
2012-04-04,77.55
2012-04-09,75.7
2012-04-10,80.1
2012-04-11,79.0
2012-04-12,79.8
2012-04-13,78.35
2012-04-16,79.75
2012-04-17,79.75
2012-04-18,79.45
2012-04-19,79.65
2012-04-20,79.5
2012-04-23,79.95
2012-04-24,87.2
2012-04-25,87.05
2012-04-26,90.55
2012-04-27,88.95
2012-04-28,88.3
2012-04-30,91.4
2012-05-02,90.35
2012-05-03,89.25
2012-05-04,87.65
2012-05-07,88.25
2012-05-08,88.45
2012-05-09,86.25
2012-05-10,89.3
2012-05-11,86.3
2012-05-14,85.05
2012-05-15,84.4
2012-05-16,83.0
2012-05-17,85.95
2012-05-18,83.9
2012-05-21,85.2
2012-05-22,83.1
2012-05-23,84.8
2012-05-24,85.05
2012-05-25,85.5
2012-05-28,85.65
2012-05-29,84.8
2012-05-30,84.85
2012-05-31,84.4
2012-06-01,83.3
2012-06-04,83.05
2012-06-05,83.1
2012-06-06,83.45
2012-06-07,83.35
2012-06-08,82.9
2012-06-11,82.7
2012-06-12,82.2
2012-06-13,83.15
2012-06-14,83.0
2012-06-15,84.7
2012-06-18,83.65
2012-06-19,83.05
2012-06-20,83.45
2012-06-21,84.15
2012-06-22,83.6
2012-06-25,82.95
2012-06-26,83.0
2012-06-27,83.2
2012-06-28,82.75
2012-06-29,82.15
2012-07-02,82.45
2012-07-03,82.15
2012-07-04,81.7
2012-07-05,82.0
2012-07-06,81.9
2012-07-09,81.95
2012-07-10,82.0
2012-07-11,81.9
2012-07-12,81.7
2012-07-13,82.75
2012-07-16,82.05
2012-07-17,82.05
2012-07-18,85.95
2012-07-19,88.15
2012-07-20,87.4
2012-07-23,85.35
2012-07-24,85.1
2012-07-25,85.3
2012-07-26,68.25
2012-07-27,70.8
2012-07-30,80.5
2012-07-31,81.3
2012-08-01,81.45
2012-08-02,81.0
2012-08-03,80.95
2012-08-06,79.8
2012-08-07,79.3
2012-08-08,79.45
2012-08-09,78.95
2012-08-10,79.25
2012-08-13,79.35
2012-08-14,79.3
2012-08-16,79.3
2012-08-17,77.75
2012-08-21,79.25
2012-08-22,79.1
2012-08-23,80.9
2012-08-24,79.4
2012-08-27,79.4
2012-08-28,79.35
2012-08-29,79.45
2012-08-30,79.05
2012-08-31,79.6
2012-09-03,79.8
2012-09-04,79.85
2012-09-05,79.25
2012-09-06,79.2
2012-09-07,79.3
2012-09-08,79.25
2012-09-10,79.35
2012-09-11,79.35
2012-09-12,79.6
2012-09-13,79.35
2012-09-14,79.75
2012-09-17,82.4
2012-09-18,81.4
2012-09-20,81.3
2012-09-21,82.4
2012-09-24,82.3
2012-09-25,82.4
2012-09-26,82.25
2012-09-27,82.6
2012-09-28,82.0
2012-10-01,82.3
2012-10-03,82.35
2012-10-04,91.45
2012-10-05,97.3
2012-10-08,102.65
2012-10-09,106.3
2012-10-10,107.2
2012-10-11,95.65
2012-10-12,76.55
2012-10-15,61.25
2012-10-16,60.9
2012-10-17,54.85
2012-10-18,56.1
2012-10-19,51.35
2012-10-22,53.15
2012-10-23,51.4
2012-10-25,50.6
2012-10-26,49.6
2012-10-29,54.55
2012-10-30,53.6
2012-10-31,56.25
2012-11-01,50.65
2012-11-02,45.6
2012-11-05,41.05
2012-11-06,41.0
2012-11-07,38.95
2012-11-08,37.05
2012-11-09,36.75
2012-11-12,38.55
2012-11-13,40.4
2012-11-15,39.4
2012-11-16,39.3
2012-11-19,38.05
2012-11-20,36.2
2012-11-21,35.05
2012-11-22,35.6
2012-11-23,34.3
2012-11-26,36.0
2012-11-27,34.85
2012-11-29,36.55
2012-11-30,34.75
2012-12-03,33.05
2012-12-04,31.4
2012-12-05,29.85
2012-12-06,28.4
2012-12-07,27.0
2012-12-10,26.65
2012-12-11,27.95
2012-12-12,29.3
2012-12-13,28.55
2012-12-14,27.15
2012-12-17,25.85
2012-12-18,27.1
2012-12-19,25.75
2012-12-20,24.5
2012-12-21,23.3
2012-12-24,22.4
2012-12-26,22.8
2012-12-27,22.75
2012-12-28,22.65
2012-12-31,22.6
