Date,TI
2012-01-02,32.7
2012-01-03,33.45
2012-01-04,33.1
2012-01-05,33.75
2012-01-06,33.1
2012-01-07,33.3
2012-01-09,33.85
2012-01-10,34.2
2012-01-11,35.3
2012-01-12,34.0
2012-01-13,35.85
2012-01-16,36.45
2012-01-17,36.6
2012-01-18,36.5
2012-01-19,37.3
2012-01-20,37.75
2012-01-23,41.8
2012-01-24,43.25
2012-01-25,42.5
2012-01-27,44.95
2012-01-30,44.55
2012-01-31,45.8
2012-02-01,46.15
2012-02-02,44.6
2012-02-03,45.55
2012-02-06,48.4
2012-02-07,50.15
2012-02-08,52.95
2012-02-09,52.8
2012-02-10,53.5
2012-02-13,58.95
2012-02-14,61.9
2012-02-15,60.2
2012-02-16,61.4
2012-02-17,60.25
2012-02-21,58.3
2012-02-22,56.05
2012-02-23,56.2
2012-02-24,58.25
2012-02-27,57.45
2012-02-28,59.45
2012-02-29,62.05
2012-03-01,60.5
2012-03-02,60.15
2012-03-03,59.35
2012-03-05,58.35
2012-03-06,56.05
2012-03-07,55.25
2012-03-09,57.65
2012-03-12,56.9
2012-03-13,58.85
2012-03-14,62.7
2012-03-15,62.55
2012-03-16,59.55
2012-03-19,59.35
2012-03-20,58.95
2012-03-21,59.95
2012-03-22,57.7
2012-03-23,57.9
2012-03-26,55.45
2012-03-27,52.1
2012-03-28,50.45
2012-03-29,52.9
2012-03-30,55.7
2012-04-02,55.5
2012-04-03,55.25
2012-04-04,55.8
2012-04-09,54.15
2012-04-10,54.15
2012-04-11,52.4
2012-04-12,54.8
2012-04-13,56.05
2012-04-16,59.3
2012-04-17,59.65
2012-04-18,59.0
2012-04-19,58.45
2012-04-20,58.6
2012-04-23,57.6
2012-04-24,57.4
2012-04-25,56.8
2012-04-26,57.85
2012-04-27,57.6
2012-04-28,57.15
2012-04-30,57.05
2012-05-02,56.65
2012-05-03,55.4
2012-05-04,55.05
2012-05-07,54.3
2012-05-08,54.1
2012-05-09,56.95
2012-05-10,56.45
2012-05-11,55.05
2012-05-14,55.1
2012-05-15,55.7
2012-05-16,54.9
2012-05-17,54.45
2012-05-18,54.8
2012-05-21,56.4
2012-05-22,55.1
2012-05-23,54.6
2012-05-24,55.1
2012-05-25,55.6
2012-05-28,56.6
2012-05-29,54.6
2012-05-30,53.95
2012-05-31,53.75
2012-06-01,53.05
2012-06-04,51.5
2012-06-05,51.15
2012-06-06,51.5
2012-06-07,53.2
2012-06-08,52.05
2012-06-11,52.35
2012-06-12,51.8
2012-06-13,51.9
2012-06-14,51.8
2012-06-15,52.0
2012-06-18,52.05
2012-06-19,51.35
2012-06-20,52.05
2012-06-21,52.1
2012-06-22,52.75
2012-06-25,54.45
2012-06-26,54.45
2012-06-27,53.4
2012-06-28,52.9
2012-06-29,52.85
2012-07-02,52.85
2012-07-03,53.2
2012-07-04,52.85
2012-07-05,53.25
2012-07-06,57.45
2012-07-09,55.4
2012-07-10,58.65
2012-07-11,58.25
2012-07-12,56.85
2012-07-13,55.9
2012-07-16,55.25
2012-07-17,54.3
2012-07-18,53.55
2012-07-19,54.2
2012-07-20,53.45
2012-07-23,52.5
2012-07-24,52.3
2012-07-25,51.65
2012-07-26,50.0
2012-07-27,50.5
2012-07-30,49.75
2012-07-31,49.15
2012-08-01,49.9
2012-08-02,48.8
2012-08-03,50.7
2012-08-06,52.35
2012-08-07,52.2
2012-08-08,51.5
2012-08-09,51.9
2012-08-10,50.05
2012-08-13,50.5
2012-08-14,49.9
2012-08-16,49.55
2012-08-17,49.15
2012-08-21,49.35
2012-08-22,48.7
2012-08-23,49.45
2012-08-24,48.5
2012-08-27,47.9
2012-08-28,45.85
2012-08-29,45.1
2012-08-30,44.85
2012-08-31,43.05
2012-09-03,43.1
2012-09-04,42.95
2012-09-05,43.0
2012-09-06,42.9
2012-09-07,43.8
2012-09-08,44.0
2012-09-10,43.65
2012-09-11,44.65
2012-09-12,46.35
2012-09-13,45.6
2012-09-14,45.0
2012-09-17,46.05
2012-09-18,45.3
2012-09-20,46.3
2012-09-21,46.9
2012-09-24,49.55
2012-09-25,51.75
2012-09-26,51.4
2012-09-27,51.2
2012-09-28,52.0
2012-10-01,55.65
2012-10-03,57.0
2012-10-04,55.35
2012-10-05,54.95
2012-10-08,54.8
2012-10-09,54.95
2012-10-10,53.95
2012-10-11,55.25
2012-10-12,63.5
2012-10-15,71.0
2012-10-16,68.35
2012-10-17,66.65
2012-10-18,66.3
2012-10-19,65.1
2012-10-22,65.05
2012-10-23,64.05
2012-10-25,63.6
2012-10-26,62.1
2012-10-29,61.85
2012-10-30,64.2
2012-10-31,64.4
2012-11-01,64.05
2012-11-02,63.3
2012-11-05,63.2
2012-11-06,63.55
2012-11-07,63.85
2012-11-08,64.7
2012-11-09,64.85
2012-11-12,69.3
2012-11-13,68.1
2012-11-15,65.7
2012-11-16,65.2
2012-11-19,65.35
2012-11-20,64.85
2012-11-21,64.95
2012-11-22,64.65
2012-11-23,66.55
2012-11-26,71.25
2012-11-27,71.0
2012-11-29,71.6
2012-11-30,70.75
2012-12-03,71.05
2012-12-04,80.25
2012-12-05,80.25
2012-12-06,79.1
2012-12-07,80.85
2012-12-10,81.05
2012-12-11,79.45
2012-12-12,77.6
2012-12-13,76.45
2012-12-14,76.1
2012-12-17,76.15
2012-12-18,77.7
2012-12-19,77.7
2012-12-20,75.95
2012-12-21,73.85
2012-12-24,74.5
2012-12-26,76.95
2012-12-27,75.95
2012-12-28,75.95
2012-12-31,79.6
