Date,BANKINDIA
2012-01-02,267.1
2012-01-03,288.15
2012-01-04,287.95
2012-01-05,286.65
2012-01-06,290.9
2012-01-07,291.6
2012-01-09,293.65
2012-01-10,303.25
2012-01-11,302.9
2012-01-12,299.8
2012-01-13,301.65
2012-01-16,296.4
2012-01-17,303.2
2012-01-18,301.0
2012-01-19,306.3
2012-01-20,319.1
2012-01-23,319.05
2012-01-24,339.65
2012-01-25,342.6
2012-01-27,352.75
2012-01-30,336.1
2012-01-31,344.65
2012-02-01,340.9
2012-02-02,349.95
2012-02-03,348.35
2012-02-06,344.45
2012-02-07,341.3
2012-02-08,368.8
2012-02-09,369.3
2012-02-10,364.9
2012-02-13,368.2
2012-02-14,374.9
2012-02-15,392.8
2012-02-16,385.7
2012-02-17,380.35
2012-02-21,396.9
2012-02-22,365.45
2012-02-23,376.65
2012-02-24,372.6
2012-02-27,341.55
2012-02-28,374.75
2012-02-29,372.25
2012-03-01,367.9
2012-03-02,368.45
2012-03-03,368.25
2012-03-05,354.8
2012-03-06,352.25
2012-03-07,350.2
2012-03-09,365.3
2012-03-12,371.4
2012-03-13,372.75
2012-03-14,392.55
2012-03-15,376.05
2012-03-16,359.45
2012-03-19,354.1
2012-03-20,359.95
2012-03-21,370.2
2012-03-22,355.35
2012-03-23,361.05
2012-03-26,353.35
2012-03-27,362.7
2012-03-28,348.0
2012-03-29,348.75
2012-03-30,362.65
2012-04-02,367.0
2012-04-03,366.15
2012-04-04,372.4
2012-04-09,364.5
2012-04-10,365.2
2012-04-11,363.7
2012-04-12,368.55
2012-04-13,369.25
2012-04-16,377.35
2012-04-17,378.0
2012-04-18,371.8
2012-04-19,365.75
2012-04-20,357.6
2012-04-23,346.2
2012-04-24,346.6
2012-04-25,338.85
2012-04-26,331.3
2012-04-27,330.7
2012-04-28,337.25
2012-04-30,353.5
2012-05-02,348.5
2012-05-03,333.95
2012-05-04,329.1
2012-05-07,339.2
2012-05-08,330.4
2012-05-09,313.6
2012-05-10,313.65
2012-05-11,317.25
2012-05-14,317.05
2012-05-15,320.8
2012-05-16,307.5
2012-05-17,307.8
2012-05-18,315.05
2012-05-21,318.0
2012-05-22,307.65
2012-05-23,311.95
2012-05-24,315.85
2012-05-25,320.5
2012-05-28,329.95
2012-05-29,331.35
2012-05-30,319.8
2012-05-31,340.85
2012-06-01,333.2
2012-06-04,333.0
2012-06-05,336.75
2012-06-06,343.1
2012-06-07,349.0
2012-06-08,353.6
2012-06-11,349.05
2012-06-12,358.45
2012-06-13,356.0
2012-06-14,348.1
2012-06-15,349.75
2012-06-18,340.6
2012-06-19,334.5
2012-06-20,341.6
2012-06-21,341.45
2012-06-22,344.65
2012-06-25,343.05
2012-06-26,344.6
2012-06-27,344.2
2012-06-28,345.4
2012-06-29,347.05
2012-07-02,347.9
2012-07-03,352.5
2012-07-04,353.5
2012-07-05,354.6
2012-07-06,351.95
2012-07-09,344.85
2012-07-09,344.85
2012-07-10,347.8
2012-07-11,345.0
2012-07-12,340.85
2012-07-13,337.75
2012-07-16,333.65
2012-07-17,329.5
2012-07-18,329.8
2012-07-19,325.85
2012-07-20,324.55
2012-07-23,320.4
2012-07-24,321.0
2012-07-25,318.1
2012-07-26,308.0
2012-07-27,290.45
2012-07-30,296.35
2012-07-31,297.9
2012-08-01,297.65
2012-08-02,296.85
2012-08-03,289.1
2012-08-06,287.45
2012-08-07,288.55
2012-08-08,284.95
2012-08-09,279.95
2012-08-10,271.9
2012-08-13,271.25
2012-08-14,275.3
2012-08-16,278.25
2012-08-17,276.75
2012-08-21,277.75
2012-08-22,279.15
2012-08-23,281.3
2012-08-24,272.6
2012-08-27,266.45
2012-08-28,265.15
2012-08-29,259.5
2012-08-30,256.9
2012-08-31,255.3
2012-09-03,255.55
2012-09-04,262.3
2012-09-05,255.0
2012-09-06,255.2
2012-09-07,259.25
2012-09-08,261.0
2012-09-10,258.35
2012-09-11,259.25
2012-09-12,263.1
2012-09-13,260.35
2012-09-14,270.1
2012-09-17,280.9
2012-09-18,296.5
2012-09-20,285.75
2012-09-21,302.45
2012-09-24,299.0
2012-09-25,302.0
2012-09-26,301.5
2012-09-27,305.05
2012-09-28,311.2
2012-10-01,309.6
2012-10-03,304.9
2012-10-04,305.3
2012-10-05,296.9
2012-10-08,297.55
2012-10-09,296.25
2012-10-10,294.6
2012-10-11,301.4
2012-10-12,301.95
2012-10-15,303.2
2012-10-16,298.0
2012-10-17,295.05
2012-10-18,302.95
2012-10-19,301.7
2012-10-22,301.2
2012-10-23,298.05
2012-10-25,297.45
2012-10-26,287.15
2012-10-29,279.4
2012-10-30,272.95
2012-10-31,276.5
2012-11-01,279.65
2012-11-02,283.2
2012-11-05,279.4
2012-11-06,278.85
2012-11-07,288.4
2012-11-08,291.2
2012-11-09,283.4
2012-11-12,283.25
2012-11-13,281.95
2012-11-15,278.8
2012-11-16,273.45
2012-11-19,272.65
2012-11-20,266.3
2012-11-21,266.4
2012-11-22,268.75
2012-11-23,270.8
2012-11-26,271.6
2012-11-27,272.85
2012-11-29,275.9
2012-11-30,280.65
2012-12-03,280.1
2012-12-04,283.65
2012-12-05,290.15
2012-12-06,293.75
2012-12-07,293.65
2012-12-10,305.65
2012-12-11,305.15
2012-12-12,308.55
2012-12-13,303.6
2012-12-14,309.9
2012-12-17,312.55
2012-12-18,321.6
2012-12-19,327.95
2012-12-20,331.5
2012-12-21,333.7
2012-12-24,328.75
2012-12-26,340.65
2012-12-27,336.9
2012-12-28,339.25
2012-12-31,343.0
