Date,OFSS
2012-01-02,1850.35
2012-01-03,1888.75
2012-01-04,1935.2
2012-01-05,1959.4
2012-01-06,1971.75
2012-01-07,1966.45
2012-01-09,1951.35
2012-01-10,2022.75
2012-01-11,2019.1
2012-01-12,2011.1
2012-01-13,2004.2
2012-01-16,2000.95
2012-01-17,2019.75
2012-01-18,2018.6
2012-01-19,1990.3
2012-01-20,1967.4
2012-01-23,1939.95
2012-01-24,1964.9
2012-01-25,1958.6
2012-01-27,1969.95
2012-01-30,1940.7
2012-01-31,1984.6
2012-02-01,2090.1
2012-02-02,2097.15
2012-02-03,2099.05
2012-02-06,2160.45
2012-02-07,2144.8
2012-02-08,2177.8
2012-02-09,2149.9
2012-02-10,2155.05
2012-02-13,2204.5
2012-02-14,2200.45
2012-02-15,2201.4
2012-02-16,2203.4
2012-02-17,2171.45
2012-02-21,2204.95
2012-02-22,2120.65
2012-02-23,2214.2
2012-02-24,2583.9
2012-02-27,2541.75
2012-02-28,2668.1
2012-02-29,2645.65
2012-03-01,2684.2
2012-03-02,2601.65
2012-03-03,2649.55
2012-03-05,2539.1
2012-03-06,2504.2
2012-03-07,2499.9
2012-03-09,2575.4
2012-03-12,2546.55
2012-03-13,2515.45
2012-03-14,2519.55
2012-03-15,2512.6
2012-03-16,2471.95
2012-03-19,2492.65
2012-03-20,2617.95
2012-03-21,2587.75
2012-03-22,2542.15
2012-03-23,2602.65
2012-03-26,2568.95
2012-03-27,2576.35
2012-03-28,2584.6
2012-03-29,2594.55
2012-03-30,2620.3
2012-04-02,2616.15
2012-04-03,2637.15
2012-04-04,2616.55
2012-04-09,2634.7
2012-04-10,2643.6
2012-04-11,2639.95
2012-04-12,2749.3
2012-04-13,2640.4
2012-04-16,2661.35
2012-04-17,2708.25
2012-04-18,2674.55
2012-04-19,2668.15
2012-04-20,2661.2
2012-04-23,2599.9
2012-04-24,2597.05
2012-04-25,2574.3
2012-04-26,2537.15
2012-04-27,2581.75
2012-04-28,2571.1
2012-04-30,2619.95
2012-05-02,2592.8
2012-05-03,2558.7
2012-05-04,2515.5
2012-05-07,2608.15
2012-05-08,2589.15
2012-05-09,2573.95
2012-05-10,2558.25
2012-05-11,2569.1
2012-05-14,2490.65
2012-05-15,2465.55
2012-05-16,2479.55
2012-05-17,2453.1
2012-05-18,2397.3
2012-05-21,2367.2
2012-05-22,2418.0
2012-05-23,2442.05
2012-05-24,2424.5
2012-05-25,2430.3
2012-05-28,2525.25
2012-05-29,2492.65
2012-05-30,2446.6
2012-05-31,2503.45
2012-06-01,2447.4
2012-06-04,2418.5
2012-06-05,2399.05
2012-06-06,2421.3
2012-06-07,2464.0
2012-06-08,2524.0
2012-06-11,2484.0
2012-06-12,2474.8
2012-06-13,2472.15
2012-06-14,2417.65
2012-06-15,2419.6
2012-06-18,2399.05
2012-06-19,2435.3
2012-06-20,2428.9
2012-06-21,2438.9
2012-06-22,2427.5
2012-06-25,2424.8
2012-06-26,2436.1
2012-06-27,2425.9
2012-06-28,2422.35
2012-06-29,2537.2
2012-07-02,2562.1
2012-07-03,2535.3
2012-07-04,2506.65
