Date,FMNL
2012-01-02,28.3
2012-01-03,27.95
2012-01-04,28.25
2012-01-05,27.45
2012-01-06,27.1
2012-01-09,28.25
2012-01-10,27.95
2012-01-11,29.5
2012-01-12,28.65
2012-01-13,30.0
2012-01-16,28.15
2012-01-17,28.95
2012-01-18,28.85
2012-01-19,28.15
2012-01-20,29.0
2012-01-23,28.95
2012-01-24,28.9
2012-01-25,29.9
2012-01-27,30.0
2012-01-30,36.0
2012-01-31,38.05
2012-02-01,37.45
2012-02-02,36.3
2012-02-03,37.2
2012-02-06,37.8
2012-02-07,35.85
2012-02-08,35.5
2012-02-09,37.8
2012-02-10,36.55
2012-02-13,34.15
2012-02-14,32.65
2012-02-15,33.9
2012-02-16,34.7
2012-02-17,36.9
2012-02-21,35.55
2012-02-22,35.15
2012-02-23,36.05
2012-02-24,36.15
2012-02-27,34.7
2012-02-28,35.95
2012-02-29,36.35
2012-03-01,35.65
2012-03-02,36.55
2012-03-03,35.2
2012-03-05,34.8
2012-03-06,34.1
2012-03-07,33.95
2012-03-09,33.65
2012-03-12,33.4
2012-03-13,34.6
2012-03-14,34.0
2012-03-15,32.95
2012-03-16,31.55
2012-03-19,30.35
2012-03-20,29.05
2012-03-21,29.4
2012-03-22,28.9
2012-03-23,28.9
2012-03-26,28.95
2012-03-27,28.55
2012-03-28,28.3
2012-03-29,30.75
2012-03-30,30.65
2012-04-02,30.0
2012-04-03,29.5
2012-04-04,29.4
2012-04-09,29.25
2012-04-10,29.0
2012-04-11,30.05
2012-04-12,30.0
2012-04-13,29.5
2012-04-16,29.5
2012-04-17,30.1
2012-04-18,29.65
2012-04-19,29.4
2012-04-20,29.1
2012-04-23,28.8
2012-04-24,28.15
2012-04-25,28.1
2012-04-26,28.4
2012-04-27,28.85
2012-04-28,29.75
2012-04-30,29.75
2012-05-02,29.75
2012-05-03,29.0
2012-05-04,27.5
2012-05-07,28.0
2012-05-08,27.6
2012-05-09,26.9
2012-05-10,26.5
2012-05-11,26.0
2012-05-14,26.9
2012-05-15,26.1
2012-05-16,25.8
2012-05-17,27.0
2012-05-18,27.95
2012-05-21,26.05
2012-05-22,27.0
2012-05-23,26.1
2012-05-24,26.2
2012-05-25,26.95
2012-05-28,27.75
2012-05-29,27.4
2012-05-30,26.8
2012-05-31,27.05
2012-06-01,25.65
2012-06-04,26.85
2012-06-05,25.5
2012-06-06,26.85
2012-06-07,26.25
2012-06-08,27.0
2012-06-11,26.4
2012-06-12,25.9
2012-06-13,26.5
2012-06-14,25.55
2012-06-15,25.75
2012-06-18,27.15
2012-06-19,27.5
2012-06-20,27.8
2012-06-21,27.7
2012-06-22,28.65
2012-06-25,27.45
2012-06-26,26.65
2012-06-27,26.65
2012-06-28,26.3
2012-06-29,26.85
2012-07-02,27.7
2012-07-03,27.0
2012-07-04,27.4
2012-07-05,28.05
2012-07-06,26.45
2012-07-09,26.55
2012-07-09,26.55
2012-07-10,26.05
2012-07-11,26.05
2012-07-12,26.25
2012-07-13,26.0
2012-07-16,25.5
2012-07-17,26.2
2012-07-18,27.4
2012-07-19,27.0
2012-07-20,27.4
2012-07-23,27.0
2012-07-24,25.6
2012-07-25,25.4
2012-07-26,25.0
2012-07-27,24.5
2012-07-30,25.8
2012-07-31,25.5
2012-08-01,25.15
2012-08-02,25.25
2012-08-03,26.5
2012-08-06,26.25
2012-08-07,26.5
2012-08-08,25.6
2012-08-09,26.0
2012-08-10,24.75
2012-08-13,25.0
2012-08-14,25.0
2012-08-16,24.9
2012-08-17,24.85
2012-08-21,24.0
2012-08-22,24.95
2012-08-23,24.15
2012-08-24,24.05
2012-08-27,24.05
2012-08-28,24.0
2012-08-29,24.0
2012-08-30,23.9
2012-08-31,23.05
2012-09-03,23.2
2012-09-04,22.8
2012-09-05,22.5
2012-09-06,23.3
2012-09-07,22.0
2012-09-08,21.5
2012-09-10,21.75
2012-09-11,22.1
2012-09-12,22.05
2012-09-13,21.9
2012-09-14,22.6
2012-09-17,24.8
2012-09-18,24.75
2012-09-20,24.85
2012-09-21,24.05
2012-09-24,24.3
2012-09-25,23.65
2012-09-26,24.55
2012-09-27,24.3
2012-09-28,29.15
2012-10-01,33.4
2012-10-03,32.75
2012-10-04,30.25
2012-10-05,28.7
2012-10-08,28.95
2012-10-09,27.3
2012-10-10,28.6
2012-10-11,26.9
2012-10-12,26.0
2012-10-15,24.9
2012-10-16,24.1
2012-10-17,24.35
2012-10-18,23.1
2012-10-19,27.7
2012-10-22,33.2
2012-10-23,35.05
2012-10-25,32.0
2012-10-26,29.2
2012-10-29,29.75
2012-10-30,28.3
2012-10-31,28.5
2012-11-01,28.15
2012-11-02,27.55
2012-11-05,30.05
2012-11-06,31.55
2012-11-07,29.55
2012-11-08,29.1
2012-11-09,28.3
2012-11-12,27.7
2012-11-13,27.4
2012-11-15,28.2
2012-11-16,28.35
2012-11-19,27.75
2012-11-20,27.8
2012-11-21,27.65
2012-11-22,26.65
2012-11-23,27.3
2012-11-26,26.75
2012-11-27,28.4
2012-11-29,28.5
2012-11-30,27.9
2012-12-03,28.95
2012-12-04,28.55
2012-12-05,29.0
2012-12-06,31.9
2012-12-07,35.05
2012-12-10,32.9
2012-12-11,32.1
2012-12-12,31.1
2012-12-13,30.95
2012-12-14,31.35
2012-12-17,29.0
2012-12-18,28.5
2012-12-19,28.7
2012-12-20,28.3
2012-12-21,28.0
2012-12-24,27.45
2012-12-26,28.1
2012-12-27,29.6
2012-12-28,27.65
2012-12-31,26.15
