Date,DCBBANK
2012-01-02,31.85
2012-01-03,33.4
2012-01-04,34.25
2012-01-05,35.05
2012-01-06,35.35
2012-01-07,35.5
2012-01-09,36.4
2012-01-10,38.35
2012-01-11,39.55
2012-01-12,40.25
2012-01-13,40.55
2012-01-16,39.6
2012-01-17,40.3
2012-01-18,39.6
2012-01-19,39.65
2012-01-20,40.4
2012-01-23,41.65
2012-01-24,43.0
2012-01-25,42.9
2012-01-27,43.0
2012-01-30,40.95
2012-01-31,43.15
2012-02-01,43.8
2012-02-02,43.55
2012-02-03,43.1
2012-02-06,43.6
2012-02-07,43.95
2012-02-08,45.85
2012-02-09,47.55
2012-02-10,47.8
2012-02-13,48.25
2012-02-14,48.25
2012-02-15,50.2
2012-02-16,50.9
2012-02-17,50.65
2012-02-21,50.65
2012-02-22,46.45
2012-02-23,47.05
2012-02-24,47.0
2012-02-27,45.25
2012-02-28,48.0
2012-02-29,47.8
2012-03-01,49.25
2012-03-02,47.35
2012-03-03,46.75
2012-03-05,45.65
2012-03-06,44.55
2012-03-07,45.25
2012-03-09,46.4
2012-03-12,47.35
2012-03-13,47.2
2012-03-14,47.7
2012-03-15,46.45
2012-03-16,45.55
2012-03-19,44.35
2012-03-20,44.85
2012-03-21,46.0
2012-03-22,44.05
2012-03-23,44.55
2012-03-26,42.95
2012-03-27,43.4
2012-03-28,42.35
2012-03-29,42.2
2012-03-30,45.0
2012-04-02,46.8
2012-04-03,46.65
2012-04-04,46.95
2012-04-09,45.65
2012-04-10,47.05
2012-04-11,48.05
2012-04-12,50.6
2012-04-13,48.15
2012-04-16,49.9
2012-04-17,49.8
2012-04-18,48.85
2012-04-19,48.5
2012-04-20,47.5
2012-04-23,45.7
2012-04-24,45.45
2012-04-25,44.5
2012-04-26,44.0
2012-04-27,44.6
2012-04-28,44.9
2012-04-30,45.6
2012-05-02,45.65
2012-05-03,43.9
2012-05-04,42.0
2012-05-07,43.5
2012-05-08,41.55
2012-05-09,40.65
2012-05-10,39.8
2012-05-11,39.55
2012-05-14,39.0
2012-05-15,39.95
2012-05-16,39.05
2012-05-17,38.65
2012-05-18,39.6
2012-05-21,39.75
2012-05-22,38.15
2012-05-23,38.5
2012-05-24,39.2
2012-05-25,39.75
2012-05-28,40.0
2012-05-29,39.65
2012-05-30,38.0
2012-05-31,38.4
2012-06-01,37.85
2012-06-04,38.15
2012-06-05,39.85
2012-06-06,40.85
2012-06-07,40.7
2012-06-08,40.9
2012-06-11,40.3
2012-06-12,41.5
2012-06-13,41.95
2012-06-14,40.55
2012-06-15,41.5
2012-06-18,39.8
2012-06-19,40.4
2012-06-20,40.4
2012-06-21,41.25
2012-06-22,41.05
2012-06-25,40.8
2012-06-26,40.95
2012-06-27,41.05
2012-06-28,40.6
2012-06-29,42.8
2012-07-02,43.05
2012-07-03,43.15
2012-07-04,44.75
2012-07-05,45.8
2012-07-06,45.45
2012-07-09,44.35
2012-07-09,44.35
2012-07-10,45.65
2012-07-11,45.45
2012-07-12,45.7
2012-07-13,47.3
2012-07-16,45.8
2012-07-17,44.15
2012-07-18,44.45
2012-07-19,44.25
2012-07-20,43.45
2012-07-23,42.35
2012-07-24,43.15
2012-07-25,41.1
2012-07-26,39.85
2012-07-27,38.85
2012-07-30,40.8
2012-07-31,40.2
2012-08-01,40.4
2012-08-02,41.25
2012-08-03,41.1
2012-08-06,41.5
2012-08-07,41.95
2012-08-08,41.3
2012-08-09,40.35
2012-08-10,40.55
2012-08-13,40.5
2012-08-14,41.05
2012-08-16,41.95
2012-08-17,42.05
2012-08-21,42.6
2012-08-22,41.75
2012-08-23,41.9
2012-08-24,41.55
2012-08-27,40.65
2012-08-28,40.1
2012-08-29,39.65
2012-08-30,40.5
2012-08-31,40.3
2012-09-03,40.5
2012-09-04,40.7
2012-09-05,40.4
2012-09-06,40.9
2012-09-07,41.35
2012-09-08,41.4
2012-09-10,41.0
2012-09-11,40.35
2012-09-12,40.85
2012-09-13,40.7
2012-09-14,41.65
2012-09-17,43.4
2012-09-18,44.75
2012-09-20,43.55
2012-09-21,45.45
2012-09-24,44.6
2012-09-25,43.65
2012-09-26,43.95
2012-09-27,43.2
2012-09-28,43.95
2012-10-01,45.05
2012-10-03,45.4
2012-10-04,45.35
2012-10-05,44.65
2012-10-08,44.8
2012-10-09,44.85
2012-10-10,44.65
2012-10-11,45.8
2012-10-12,46.45
2012-10-15,46.25
2012-10-16,45.85
2012-10-17,45.35
2012-10-18,45.25
2012-10-19,45.35
2012-10-22,45.1
2012-10-23,44.65
2012-10-25,44.5
2012-10-26,43.65
2012-10-29,43.9
2012-10-30,43.0
2012-10-31,43.05
2012-11-01,43.25
2012-11-02,43.35
2012-11-05,43.1
2012-11-06,43.0
2012-11-07,44.25
2012-11-08,44.8
2012-11-09,44.35
2012-11-12,44.85
2012-11-13,45.25
2012-11-15,44.75
2012-11-16,43.95
2012-11-19,43.25
2012-11-20,42.95
2012-11-21,43.0
2012-11-22,43.0
2012-11-23,43.85
2012-11-26,44.4
2012-11-27,44.55
2012-11-29,44.8
2012-11-30,46.85
2012-12-03,48.3
2012-12-04,47.8
2012-12-05,47.4
2012-12-06,47.6
2012-12-07,47.9
2012-12-10,50.45
2012-12-11,50.1
2012-12-12,51.4
2012-12-13,50.4
2012-12-14,50.4
2012-12-17,50.3
2012-12-18,50.5
2012-12-19,50.9
2012-12-20,50.0
2012-12-21,47.8
2012-12-24,48.0
2012-12-26,48.8
2012-12-27,48.65
2012-12-28,48.55
2012-12-31,48.9
