Date,INDIACEM
2012-01-02,66.5
2012-01-03,69.5
2012-01-04,68.45
2012-01-05,69.0
2012-01-06,69.1
2012-01-07,69.0
2012-01-09,69.5
2012-01-10,71.45
2012-01-11,70.85
2012-01-12,70.15
2012-01-13,70.75
2012-01-16,69.6
2012-01-17,72.2
2012-01-18,69.95
2012-01-19,74.25
2012-01-20,75.75
2012-01-23,75.55
2012-01-24,78.25
2012-01-25,81.35
2012-01-27,83.55
2012-01-30,79.05
2012-01-31,80.75
2012-02-01,84.2
2012-02-02,87.95
2012-02-03,93.85
2012-02-06,94.05
2012-02-07,94.95
2012-02-08,96.0
2012-02-09,96.0
2012-02-10,94.0
2012-02-13,95.7
2012-02-14,95.35
2012-02-15,108.85
2012-02-16,104.75
2012-02-17,103.85
2012-02-21,104.15
2012-02-22,100.85
2012-02-23,99.3
2012-02-24,95.45
2012-02-27,89.55
2012-02-28,95.7
2012-02-29,100.85
2012-03-01,100.45
2012-03-02,100.35
2012-03-03,99.75
2012-03-05,97.45
2012-03-06,95.95
2012-03-07,97.35
2012-03-09,100.8
2012-03-12,101.7
2012-03-13,103.0
2012-03-14,102.2
2012-03-15,99.7
2012-03-16,103.25
2012-03-19,103.5
2012-03-20,106.35
2012-03-21,113.75
2012-03-22,112.05
2012-03-23,111.35
2012-03-26,108.25
2012-03-27,116.9
2012-03-28,117.5
2012-03-29,112.0
2012-03-30,111.45
2012-04-02,109.3
2012-04-03,108.7
2012-04-04,113.9
2012-04-09,108.65
2012-04-10,104.85
2012-04-11,96.55
2012-04-12,98.35
2012-04-13,97.5
2012-04-16,97.45
2012-04-17,99.9
2012-04-18,101.75
2012-04-19,99.15
2012-04-20,95.45
2012-04-23,94.05
2012-04-24,91.2
2012-04-25,87.2
2012-04-26,85.3
2012-04-27,84.45
2012-04-28,85.25
2012-04-30,84.75
2012-05-02,87.5
2012-05-03,86.0
2012-05-04,84.45
2012-05-07,85.4
2012-05-08,84.7
2012-05-09,84.05
2012-05-10,84.3
2012-05-11,79.05
2012-05-14,78.45
2012-05-15,80.25
2012-05-16,78.0
2012-05-17,79.2
2012-05-18,76.9
2012-05-21,74.8
2012-05-22,72.0
2012-05-23,74.35
2012-05-24,73.75
2012-05-25,76.45
2012-05-28,76.85
2012-05-29,75.1
2012-05-30,75.35
2012-05-31,75.2
2012-06-01,74.85
2012-06-04,73.85
2012-06-05,73.1
2012-06-06,76.6
2012-06-07,76.35
2012-06-08,72.7
2012-06-11,73.1
2012-06-12,75.85
2012-06-13,79.8
2012-06-14,76.4
2012-06-15,81.35
2012-06-18,80.3
2012-06-19,80.85
2012-06-20,85.55
2012-06-21,83.2
2012-06-22,82.85
2012-06-25,83.3
2012-06-26,82.2
2012-06-27,82.5
2012-06-28,84.1
2012-06-29,86.95
2012-07-02,89.75
2012-07-03,88.4
2012-07-04,85.95
2012-07-05,86.35
2012-07-06,87.05
2012-07-09,82.7
2012-07-09,82.7
2012-07-10,84.7
2012-07-11,82.45
2012-07-12,82.35
2012-07-13,81.75
2012-07-16,80.9
2012-07-17,81.35
2012-07-18,82.0
2012-07-19,80.8
2012-07-20,79.3
2012-07-23,78.75
2012-07-24,81.1
2012-07-25,81.8
2012-07-26,78.95
2012-07-27,78.85
2012-07-30,80.95
2012-07-31,83.5
2012-08-01,86.45
2012-08-02,85.2
2012-08-03,86.95
2012-08-06,84.85
2012-08-07,85.85
2012-08-08,87.6
2012-08-09,85.55
2012-08-10,85.6
2012-08-13,85.2
2012-08-14,87.6
2012-08-16,85.85
2012-08-17,84.95
2012-08-21,87.0
2012-08-22,88.65
2012-08-23,91.55
2012-08-24,90.2
2012-08-27,87.7
2012-08-28,85.7
2012-08-29,84.6
2012-08-30,87.8
2012-08-31,83.7
2012-09-03,84.55
2012-09-04,84.05
2012-09-05,80.9
2012-09-06,81.0
2012-09-07,83.95
2012-09-08,83.7
2012-09-10,83.75
2012-09-11,83.75
2012-09-12,82.7
2012-09-13,81.3
2012-09-14,82.45
2012-09-17,82.95
2012-09-18,84.95
2012-09-20,83.95
2012-09-21,86.1
2012-09-24,86.75
2012-09-25,85.85
2012-09-26,92.55
2012-09-27,96.4
2012-09-28,94.9
2012-10-01,97.45
2012-10-03,96.1
2012-10-04,95.15
2012-10-05,93.2
2012-10-08,90.75
2012-10-09,92.05
2012-10-10,92.9
2012-10-11,95.2
2012-10-12,101.1
2012-10-15,101.3
2012-10-16,99.3
2012-10-17,97.5
2012-10-18,101.8
2012-10-19,98.45
2012-10-22,97.3
2012-10-23,98.0
2012-10-25,98.15
2012-10-26,95.0
2012-10-29,98.95
2012-10-30,94.55
2012-10-31,95.6
2012-11-01,96.3
2012-11-02,97.8
2012-11-05,97.5
2012-11-06,96.65
2012-11-07,92.8
2012-11-08,91.5
2012-11-09,88.6
2012-11-12,88.2
2012-11-13,88.5
2012-11-15,86.1
2012-11-16,86.15
2012-11-19,84.25
2012-11-20,82.45
2012-11-21,83.75
2012-11-22,83.55
2012-11-23,82.9
2012-11-26,83.6
2012-11-27,85.0
2012-11-29,84.6
2012-11-30,85.8
2012-12-03,89.15
2012-12-04,88.5
2012-12-05,88.5
2012-12-06,90.8
2012-12-07,91.0
2012-12-10,89.25
2012-12-11,90.5
2012-12-12,89.95
2012-12-13,87.65
2012-12-14,88.35
2012-12-17,88.5
2012-12-18,88.8
2012-12-19,88.35
2012-12-20,87.7
2012-12-21,86.2
2012-12-24,86.55
2012-12-26,87.5
2012-12-27,87.5
2012-12-28,88.6
2012-12-31,90.85
