Date,HINDZINC
2012-01-02,115.25
2012-01-03,119.85
2012-01-04,123.5
2012-01-05,122.75
2012-01-06,123.65
2012-01-07,123.15
2012-01-09,123.55
2012-01-10,125.2
2012-01-11,126.2
2012-01-12,125.55
2012-01-13,126.95
2012-01-16,124.95
2012-01-17,128.85
2012-01-18,122.55
2012-01-19,126.3
2012-01-20,126.8
2012-01-23,125.85
2012-01-24,128.85
2012-01-25,128.7
2012-01-27,133.9
2012-01-30,132.45
2012-01-31,135.3
2012-02-01,137.15
2012-02-02,140.95
2012-02-03,142.25
2012-02-06,145.6
2012-02-07,139.05
2012-02-08,139.55
2012-02-09,146.15
2012-02-10,145.3
2012-02-13,143.05
2012-02-14,142.4
2012-02-15,142.9
2012-02-16,144.3
2012-02-17,141.9
2012-02-21,142.35
2012-02-22,138.7
2012-02-23,133.65
2012-02-24,135.5
2012-02-27,135.6
2012-02-28,141.6
2012-02-29,145.25
2012-03-01,141.65
2012-03-02,141.35
2012-03-03,140.55
2012-03-05,136.1
2012-03-06,131.85
2012-03-07,127.6
2012-03-09,131.9
2012-03-12,131.1
2012-03-13,134.2
2012-03-14,127.9
2012-03-15,129.45
2012-03-16,129.5
2012-03-19,128.95
2012-03-20,131.15
2012-03-21,130.2
2012-03-22,128.4
2012-03-23,129.25
2012-03-26,123.85
2012-03-27,123.7
2012-03-28,126.25
2012-03-29,126.85
2012-03-30,132.35
2012-04-02,132.4
2012-04-03,129.35
2012-04-04,128.15
2012-04-09,125.3
2012-04-10,128.15
2012-04-11,127.5
2012-04-12,126.2
2012-04-13,123.65
2012-04-16,122.6
2012-04-17,125.55
2012-04-18,125.1
2012-04-19,126.1
2012-04-20,126.15
2012-04-23,125.65
2012-04-24,125.6
2012-04-25,126.2
2012-04-26,126.35
2012-04-27,125.85
2012-04-28,126.65
2012-04-30,127.65
2012-05-02,126.85
2012-05-03,126.55
2012-05-04,124.2
2012-05-07,124.45
2012-05-08,123.1
2012-05-09,120.65
2012-05-10,120.8
2012-05-11,118.9
2012-05-14,120.75
2012-05-15,119.35
2012-05-16,117.55
2012-05-17,116.4
2012-05-18,116.2
2012-05-21,116.15
2012-05-22,114.8
2012-05-23,115.35
2012-05-24,115.95
2012-05-25,116.8
2012-05-28,121.2
2012-05-29,119.15
2012-05-30,117.35
2012-05-31,117.1
2012-06-01,116.75
2012-06-04,116.15
2012-06-05,115.2
2012-06-06,119.3
2012-06-07,119.05
2012-06-08,117.95
2012-06-11,117.15
2012-06-12,118.1
2012-06-13,117.95
2012-06-14,117.8
2012-06-15,117.2
2012-06-18,115.2
2012-06-19,116.65
2012-06-20,121.8
2012-06-21,119.85
2012-06-22,118.45
2012-06-25,118.35
2012-06-26,117.1
2012-06-27,118.5
2012-06-28,118.0
2012-06-29,123.35
2012-07-02,122.35
2012-07-03,122.1
2012-07-04,126.15
2012-07-05,125.05
2012-07-06,124.5
2012-07-09,118.9
2012-07-09,118.9
2012-07-10,121.4
2012-07-11,119.55
2012-07-12,118.65
2012-07-13,117.75
2012-07-16,118.75
2012-07-17,119.05
2012-07-18,118.0
2012-07-19,119.0
2012-07-20,119.8
2012-07-23,116.15
2012-07-24,117.0
2012-07-25,116.35
2012-07-26,114.3
2012-07-27,117.15
2012-07-30,120.45
2012-07-31,119.35
2012-08-01,118.6
2012-08-02,119.0
2012-08-03,118.1
2012-08-06,118.7
2012-08-07,119.1
2012-08-08,119.45
2012-08-09,120.45
2012-08-10,124.45
2012-08-13,125.85
2012-08-14,125.1
2012-08-16,122.2
2012-08-17,124.15
2012-08-21,132.45
2012-08-22,130.55
2012-08-23,132.6
2012-08-24,129.9
2012-08-27,129.65
2012-08-28,124.1
2012-08-29,123.05
2012-08-30,123.8
2012-08-31,123.35
2012-09-03,124.9
2012-09-04,128.15
2012-09-05,126.0
2012-09-06,125.75
2012-09-07,129.2
2012-09-08,130.95
2012-09-10,130.2
2012-09-11,128.7
2012-09-12,132.4
2012-09-13,130.95
2012-09-14,136.65
2012-09-17,137.8
2012-09-18,134.2
2012-09-20,129.55
2012-09-21,132.05
2012-09-24,131.95
2012-09-25,131.0
2012-09-26,132.75
2012-09-27,130.4
2012-09-28,136.0
2012-10-01,134.35
2012-10-03,136.55
2012-10-04,137.1
2012-10-05,136.15
2012-10-08,132.25
2012-10-09,136.0
2012-10-10,134.6
2012-10-11,137.0
2012-10-12,136.65
2012-10-15,134.9
2012-10-16,132.15
2012-10-17,135.35
2012-10-18,134.85
2012-10-19,134.25
2012-10-22,133.35
2012-10-23,131.7
2012-10-25,132.25
2012-10-26,131.9
2012-10-29,131.9
2012-10-30,129.95
2012-10-31,133.9
2012-11-01,135.6
2012-11-02,136.95
2012-11-05,137.35
2012-11-06,139.9
2012-11-07,139.1
2012-11-08,137.5
2012-11-09,137.25
2012-11-12,135.75
2012-11-13,135.7
2012-11-15,133.15
2012-11-16,135.0
2012-11-19,134.05
2012-11-20,134.7
2012-11-21,134.9
2012-11-22,132.5
2012-11-23,131.4
2012-11-26,137.95
2012-11-27,135.95
2012-11-29,137.9
2012-11-30,139.4
2012-12-03,141.65
2012-12-04,140.9
2012-12-05,138.4
2012-12-06,138.9
2012-12-07,138.75
2012-12-10,137.9
2012-12-11,139.1
2012-12-12,137.35
2012-12-13,136.6
2012-12-14,142.7
2012-12-17,142.75
2012-12-18,138.85
2012-12-19,138.05
2012-12-20,137.25
2012-12-21,138.75
2012-12-24,137.8
2012-12-26,136.7
2012-12-27,135.15
2012-12-28,136.5
2012-12-31,136.1
