Date,ASAHIINDIA
2012-01-02,54.0
2012-01-03,55.95
2012-01-04,57.0
2012-01-05,57.05
2012-01-06,56.45
2012-01-07,56.35
2012-01-09,58.0
2012-01-10,62.3
2012-01-11,64.85
2012-01-12,62.75
2012-01-13,62.4
2012-01-16,59.65
2012-01-17,59.85
2012-01-18,60.0
2012-01-19,61.3
2012-01-20,63.0
2012-01-23,61.9
2012-01-24,61.7
2012-01-25,60.9
2012-01-27,58.8
2012-01-30,59.2
2012-01-31,59.05
2012-02-01,59.7
2012-02-02,61.55
2012-02-03,62.0
2012-02-06,63.8
2012-02-07,63.3
2012-02-08,63.55
2012-02-09,63.8
2012-02-10,63.5
2012-02-13,63.25
2012-02-14,65.95
2012-02-15,66.4
2012-02-16,65.7
2012-02-17,65.75
2012-02-21,66.45
2012-02-22,62.8
2012-02-23,60.65
2012-02-24,63.95
2012-02-27,61.0
2012-02-28,59.5
2012-02-29,59.8
2012-03-01,60.7
2012-03-02,60.4
2012-03-03,60.2
2012-03-05,59.55
2012-03-06,59.25
2012-03-07,59.1
2012-03-09,59.2
2012-03-12,59.65
2012-03-13,60.0
2012-03-14,59.5
2012-03-15,59.0
2012-03-16,58.8
2012-03-19,58.1
2012-03-20,57.4
2012-03-21,58.7
2012-03-22,58.25
2012-03-23,57.75
2012-03-26,57.55
2012-03-27,57.0
2012-03-28,56.05
2012-03-29,56.8
2012-03-30,56.6
2012-04-02,58.1
2012-04-03,58.5
2012-04-04,59.1
2012-04-09,58.95
2012-04-10,58.45
2012-04-11,57.75
2012-04-12,58.2
2012-04-13,57.85
2012-04-16,57.15
2012-04-17,57.3
2012-04-18,59.8
2012-04-19,66.55
2012-04-20,67.45
2012-04-23,70.0
2012-04-24,73.4
2012-04-25,72.2
2012-04-26,73.35
2012-04-27,71.95
2012-04-28,71.8
2012-04-30,72.4
2012-05-02,72.7
2012-05-03,71.0
2012-05-04,69.1
2012-05-07,68.1
2012-05-08,68.1
2012-05-09,67.35
2012-05-10,67.6
2012-05-11,64.9
2012-05-14,60.45
2012-05-15,62.1
2012-05-16,61.5
2012-05-17,61.65
2012-05-18,59.9
2012-05-21,59.95
2012-05-22,59.75
2012-05-23,60.1
2012-05-24,62.5
2012-05-25,63.8
2012-05-28,62.75
2012-05-29,62.15
2012-05-30,61.6
2012-05-31,59.15
2012-06-01,58.9
2012-06-04,58.4
2012-06-05,58.55
2012-06-06,59.4
2012-06-07,59.3
2012-06-08,58.3
2012-06-11,58.8
2012-06-12,61.45
2012-06-13,60.6
2012-06-14,59.5
2012-06-15,58.2
2012-06-18,58.1
2012-06-19,58.1
2012-06-20,58.8
2012-06-21,58.5
2012-06-22,59.7
2012-06-25,58.95
2012-06-26,59.4
2012-06-27,58.45
2012-06-28,58.7
2012-06-29,60.0
2012-07-02,62.0
2012-07-03,61.4
2012-07-04,62.25
2012-07-05,63.0
2012-07-06,62.65
2012-07-09,61.3
2012-07-09,61.3
2012-07-10,61.65
2012-07-11,65.5
2012-07-12,63.35
2012-07-13,63.3
2012-07-16,63.05
2012-07-17,61.9
2012-07-18,61.8
2012-07-19,62.35
2012-07-20,62.1
2012-07-23,61.8
2012-07-24,61.7
2012-07-25,61.6
2012-07-26,61.05
2012-07-27,59.45
2012-07-30,60.5
2012-07-31,60.25
2012-08-01,60.35
2012-08-02,60.4
2012-08-03,65.25
2012-08-06,64.2
2012-08-07,64.9
2012-08-08,66.5
2012-08-09,64.1
2012-08-10,66.65
2012-08-13,66.15
2012-08-14,66.0
2012-08-16,66.9
2012-08-17,66.0
2012-08-21,69.8
2012-08-22,71.5
2012-08-23,69.55
2012-08-24,68.1
2012-08-27,68.35
2012-08-28,68.3
2012-08-29,69.25
2012-08-30,69.2
2012-08-31,69.7
2012-09-03,69.65
2012-09-04,70.45
2012-09-05,70.65
2012-09-06,70.8
2012-09-07,69.35
2012-09-08,69.95
2012-09-10,71.05
2012-09-11,71.25
2012-09-12,69.6
2012-09-13,68.15
2012-09-14,67.25
2012-09-17,66.85
2012-09-18,66.85
2012-09-20,66.15
2012-09-21,65.45
2012-09-24,65.9
2012-09-25,65.3
2012-09-26,69.6
2012-09-27,68.1
2012-09-28,69.0
2012-10-01,68.45
2012-10-03,67.55
2012-10-04,67.55
2012-10-05,68.15
2012-10-08,66.1
2012-10-09,67.8
2012-10-10,67.1
2012-10-11,66.5
2012-10-12,66.85
2012-10-15,66.75
2012-10-16,66.6
2012-10-17,65.6
2012-10-18,66.1
2012-10-19,66.15
2012-10-22,67.8
2012-10-23,66.65
2012-10-25,67.9
2012-10-26,67.05
2012-10-29,66.5
2012-10-30,65.45
2012-10-31,65.0
2012-11-01,65.35
2012-11-02,64.6
2012-11-05,63.6
2012-11-06,62.9
2012-11-07,62.4
2012-11-08,61.0
2012-11-09,60.15
2012-11-12,59.4
2012-11-13,60.65
2012-11-15,59.15
2012-11-16,59.55
2012-11-19,58.8
2012-11-20,57.05
2012-11-21,56.6
2012-11-22,57.3
2012-11-23,57.55
2012-11-26,56.0
2012-11-27,57.9
2012-11-29,58.9
2012-11-30,59.35
2012-12-03,57.9
2012-12-04,57.5
2012-12-05,57.8
2012-12-06,57.8
2012-12-07,57.6
2012-12-10,56.95
2012-12-11,56.35
2012-12-12,56.25
2012-12-13,55.9
2012-12-14,56.1
2012-12-17,55.55
2012-12-18,55.3
2012-12-19,56.25
2012-12-20,55.05
2012-12-21,54.75
2012-12-24,54.5
2012-12-26,54.9
2012-12-27,52.35
2012-12-28,52.75
2012-12-31,52.8
