Date,ICSA
2012-01-02,20.3
2012-01-03,21.3
2012-01-04,22.35
2012-01-05,23.45
2012-01-06,24.6
2012-01-07,25.8
2012-01-09,27.05
2012-01-10,28.4
2012-01-11,29.8
2012-01-12,31.25
2012-01-13,32.8
2012-01-16,34.4
2012-01-17,36.1
2012-01-18,35.55
2012-01-19,33.8
2012-01-20,32.15
2012-01-23,30.55
2012-01-24,32.05
2012-01-25,31.9
2012-01-27,32.05
2012-01-30,31.2
2012-01-31,31.35
2012-02-01,29.8
2012-02-02,28.35
2012-02-03,27.0
2012-02-06,28.35
2012-02-07,29.75
2012-02-08,29.65
2012-02-09,30.3
2012-02-10,30.35
2012-02-13,30.5
2012-02-14,30.35
2012-02-15,28.85
2012-02-16,27.45
2012-02-17,28.05
2012-02-21,28.15
2012-02-22,26.95
2012-02-23,26.0
2012-02-24,26.4
2012-02-27,25.1
2012-02-28,25.5
2012-02-29,25.9
2012-03-01,25.65
2012-03-02,25.9
2012-03-03,25.65
2012-03-05,25.0
2012-03-06,23.65
2012-03-07,22.95
2012-03-09,22.95
2012-03-12,23.3
2012-03-13,23.0
2012-03-14,22.95
2012-03-15,22.65
2012-03-16,21.45
2012-03-19,20.85
2012-03-20,20.45
2012-03-21,20.0
2012-03-22,20.05
2012-03-23,18.9
2012-03-26,17.65
2012-03-27,17.3
2012-03-28,16.8
2012-03-29,16.9
2012-03-30,17.7
2012-04-02,18.55
2012-04-03,19.45
2012-04-04,20.4
2012-04-09,21.4
2012-04-10,22.1
2012-04-11,21.15
2012-04-12,20.55
2012-04-13,20.05
2012-04-16,20.65
2012-04-17,20.15
2012-04-18,20.15
2012-04-19,20.25
2012-04-20,19.55
2012-04-23,18.75
2012-04-24,19.65
2012-04-25,18.9
2012-04-26,18.9
2012-04-27,18.55
2012-04-28,18.55
2012-04-30,18.7
2012-05-02,18.85
2012-05-03,18.55
2012-05-04,17.95
2012-05-07,17.95
2012-05-08,17.3
2012-05-09,17.1
2012-05-10,16.6
2012-05-11,16.75
2012-05-14,16.75
2012-05-15,16.8
2012-05-16,15.55
2012-05-17,15.35
2012-05-18,14.9
2012-05-21,14.9
2012-05-22,14.9
2012-05-23,15.65
2012-05-24,17.2
2012-05-25,17.35
2012-05-28,17.05
2012-05-29,16.75
2012-05-30,16.0
2012-05-31,15.75
2012-06-01,15.05
2012-06-04,14.35
2012-06-05,14.65
2012-06-06,14.5
2012-06-07,14.8
2012-06-08,15.55
2012-06-11,15.65
2012-06-12,15.7
2012-06-13,15.6
2012-06-14,14.95
2012-06-15,14.95
2012-06-18,14.85
2012-06-19,14.55
2012-06-20,15.0
2012-06-21,14.8
2012-06-22,14.75
2012-06-25,14.8
2012-06-26,14.85
2012-06-27,14.7
2012-06-28,14.7
2012-06-29,15.4
2012-07-02,15.25
2012-07-03,15.25
2012-07-04,15.45
2012-07-05,16.95
2012-07-06,19.65
2012-07-09,18.3
2012-07-09,18.3
2012-07-10,18.65
2012-07-11,17.85
2012-07-12,17.25
2012-07-13,17.0
2012-07-16,16.3
2012-07-17,16.0
2012-07-18,15.65
2012-07-19,15.85
2012-07-20,15.9
2012-07-23,15.15
2012-07-24,15.3
2012-07-25,15.25
2012-07-26,14.0
2012-07-27,14.0
2012-07-30,14.45
2012-07-31,14.65
2012-08-01,15.55
2012-08-02,16.25
2012-08-03,15.65
2012-08-06,15.6
2012-08-07,15.65
2012-08-08,15.45
2012-08-09,14.9
2012-08-10,14.8
2012-08-13,14.7
2012-08-14,14.7
2012-08-16,15.1
2012-08-17,14.75
2012-08-21,14.75
2012-08-22,14.55
2012-08-23,14.25
2012-08-24,14.15
2012-08-27,13.8
2012-08-28,13.25
2012-08-29,12.95
2012-08-30,12.75
2012-08-31,13.2
2012-09-03,13.05
2012-09-04,13.35
2012-09-05,12.9
2012-09-06,12.9
2012-09-07,13.05
2012-09-08,13.0
2012-09-10,13.0
2012-09-11,13.3
2012-09-12,13.25
2012-09-13,14.65
2012-09-14,15.6
2012-09-17,15.95
2012-09-18,15.65
2012-09-20,15.45
2012-09-21,15.55
2012-09-24,15.5
2012-09-25,15.7
2012-09-26,15.95
2012-09-27,15.75
2012-09-28,15.8
2012-10-01,16.2
2012-10-03,17.2
2012-10-04,16.8
2012-10-05,16.0
2012-10-08,16.15
2012-10-09,16.05
2012-10-10,15.65
2012-10-11,15.65
2012-10-12,15.65
2012-10-15,17.35
2012-10-16,20.4
2012-10-17,19.25
2012-10-18,18.35
2012-10-19,18.75
2012-10-22,18.2
2012-10-23,18.15
2012-10-25,17.85
2012-10-26,16.95
2012-10-29,16.9
2012-10-30,16.1
2012-10-31,15.95
2012-11-01,16.3
2012-11-02,16.1
2012-11-05,16.05
2012-11-06,16.05
2012-11-07,16.55
2012-11-08,16.95
2012-11-09,16.7
2012-11-12,16.45
2012-11-13,16.45
2012-11-15,15.85
2012-11-16,15.75
2012-11-19,15.5
2012-11-20,15.25
2012-11-21,15.1
2012-11-22,15.15
2012-11-23,15.05
2012-11-26,15.05
2012-11-27,15.7
2012-11-29,16.25
2012-11-30,15.95
2012-12-03,16.45
2012-12-04,16.35
2012-12-05,16.1
2012-12-06,17.05
2012-12-07,16.85
2012-12-10,16.5
2012-12-11,16.0
2012-12-12,15.9
2012-12-13,15.3
2012-12-14,15.35
2012-12-17,15.05
2012-12-18,15.0
2012-12-19,14.95
2012-12-20,15.6
2012-12-21,15.7
2012-12-24,15.5
2012-12-26,15.55
2012-12-27,15.1
2012-12-28,14.95
2012-12-31,15.05
