Date,GMRINFRA
2012-01-02,20.25
2012-01-03,22.1
2012-01-04,22.65
2012-01-05,23.0
2012-01-06,22.55
2012-01-07,22.75
2012-01-09,24.75
2012-01-10,25.6
2012-01-11,26.2
2012-01-12,27.65
2012-01-13,29.4
2012-01-16,28.75
2012-01-17,28.15
2012-01-18,27.05
2012-01-19,27.7
2012-01-20,27.3
2012-01-23,27.4
2012-01-24,28.95
2012-01-25,30.35
2012-01-27,29.7
2012-01-30,28.1
2012-01-31,29.3
2012-02-01,30.25
2012-02-02,30.05
2012-02-03,29.7
2012-02-06,30.0
2012-02-07,29.0
2012-02-08,31.15
2012-02-09,30.95
2012-02-10,29.85
2012-02-13,29.65
2012-02-14,32.0
2012-02-15,31.95
2012-02-16,32.25
2012-02-17,32.75
2012-02-21,32.6
2012-02-22,28.85
2012-02-23,27.45
2012-02-24,27.35
2012-02-27,25.9
2012-02-28,27.75
2012-02-29,28.55
2012-03-01,28.35
2012-03-02,28.55
2012-03-03,28.85
2012-03-05,27.85
2012-03-06,26.8
2012-03-07,26.9
2012-03-09,28.1
2012-03-12,29.4
2012-03-13,33.0
2012-03-14,33.0
2012-03-15,30.8
2012-03-16,29.65
2012-03-19,29.65
2012-03-20,30.25
2012-03-21,30.95
2012-03-22,29.2
2012-03-23,29.35
2012-03-26,29.5
2012-03-27,30.95
2012-03-28,30.75
2012-03-29,30.75
2012-03-30,31.05
2012-04-02,31.2
2012-04-03,31.2
2012-04-04,30.25
2012-04-09,28.95
2012-04-10,28.85
2012-04-11,28.95
2012-04-12,29.2
2012-04-13,28.7
2012-04-16,29.05
2012-04-17,29.85
2012-04-18,30.15
2012-04-19,29.35
2012-04-20,28.75
2012-04-23,28.25
2012-04-24,28.2
2012-04-25,28.45
2012-04-26,26.6
2012-04-27,27.45
2012-04-28,27.7
2012-04-30,26.65
2012-05-02,27.2
2012-05-03,26.85
2012-05-04,25.65
2012-05-07,25.95
2012-05-08,24.2
2012-05-09,22.5
2012-05-10,21.8
2012-05-11,21.0
2012-05-14,20.1
2012-05-15,20.75
2012-05-16,19.85
2012-05-17,19.75
2012-05-18,19.45
2012-05-21,19.8
2012-05-22,19.55
2012-05-23,20.35
2012-05-24,20.2
2012-05-25,20.45
2012-05-28,20.65
2012-05-29,20.7
2012-05-30,20.0
2012-05-31,20.6
2012-06-01,20.0
2012-06-04,19.65
2012-06-05,19.35
2012-06-06,21.6
2012-06-07,21.75
2012-06-08,21.9
2012-06-11,21.65
2012-06-12,22.65
2012-06-13,22.7
2012-06-14,21.6
2012-06-15,22.35
2012-06-18,22.45
2012-06-19,22.25
2012-06-20,22.55
2012-06-21,22.75
2012-06-22,22.7
2012-06-25,22.65
2012-06-26,22.3
2012-06-27,22.45
2012-06-28,23.1
2012-06-29,25.1
2012-07-02,25.65
2012-07-03,25.15
2012-07-04,25.85
2012-07-05,26.85
2012-07-06,26.3
2012-07-09,24.8
2012-07-09,24.8
2012-07-10,25.55
2012-07-11,25.1
2012-07-12,25.45
2012-07-13,24.5
2012-07-16,23.75
2012-07-17,22.75
2012-07-18,23.9
2012-07-19,24.95
2012-07-20,24.4
2012-07-23,23.35
2012-07-24,24.0
2012-07-25,23.45
2012-07-26,23.0
2012-07-27,22.4
2012-07-30,24.05
2012-07-31,23.25
2012-08-01,23.35
2012-08-02,23.3
2012-08-03,22.9
2012-08-06,23.1
2012-08-07,23.15
2012-08-08,22.4
2012-08-09,22.3
2012-08-10,21.55
2012-08-13,21.45
2012-08-14,21.6
2012-08-16,21.2
2012-08-17,20.55
2012-08-21,20.55
2012-08-22,20.2
2012-08-23,19.8
2012-08-24,19.4
2012-08-27,18.3
2012-08-28,18.55
2012-08-29,18.35
2012-08-30,19.2
2012-08-31,18.2
2012-09-03,18.6
2012-09-04,19.0
2012-09-05,19.55
2012-09-06,19.3
2012-09-07,19.65
2012-09-08,19.65
2012-09-10,19.55
2012-09-11,19.95
2012-09-12,20.3
2012-09-13,19.95
2012-09-14,21.1
2012-09-17,23.7
2012-09-18,23.85
2012-09-20,22.55
2012-09-21,25.05
2012-09-24,24.65
2012-09-25,24.6
2012-09-26,24.1
2012-09-27,24.1
2012-09-28,24.8
2012-10-01,24.8
2012-10-03,25.4
2012-10-04,25.9
2012-10-05,26.15
2012-10-08,25.85
2012-10-09,25.55
2012-10-10,23.3
2012-10-11,24.05
2012-10-12,24.15
2012-10-15,23.9
2012-10-16,22.95
2012-10-17,22.35
2012-10-18,23.0
2012-10-19,22.55
2012-10-22,21.95
2012-10-23,21.2
2012-10-25,20.95
2012-10-26,20.0
2012-10-29,20.45
2012-10-30,20.15
2012-10-31,20.05
2012-11-01,20.35
2012-11-02,20.45
2012-11-05,20.2
2012-11-06,20.3
2012-11-07,21.35
2012-11-08,20.8
2012-11-09,20.35
2012-11-12,20.25
2012-11-13,20.25
2012-11-15,19.4
2012-11-16,19.0
2012-11-19,18.65
2012-11-20,18.1
2012-11-21,18.05
2012-11-22,17.65
2012-11-23,17.85
2012-11-26,17.75
2012-11-27,17.95
2012-11-29,17.7
2012-11-30,18.6
2012-12-03,19.6
2012-12-04,19.25
2012-12-05,20.05
2012-12-06,19.8
2012-12-07,19.2
2012-12-10,19.25
2012-12-11,18.6
2012-12-12,18.45
2012-12-13,18.2
2012-12-14,18.3
2012-12-17,18.4
2012-12-18,18.5
2012-12-19,18.6
2012-12-20,19.0
2012-12-21,18.45
2012-12-24,18.55
2012-12-26,18.75
2012-12-27,18.45
2012-12-28,18.8
2012-12-31,19.35
