Date,PERSISTENT
2012-01-02,321.3
2012-01-03,317.5
2012-01-04,316.3
2012-01-05,316.1
2012-01-06,316.65
2012-01-07,317.0
2012-01-09,318.65
2012-01-10,321.5
2012-01-11,325.2
2012-01-12,325.85
2012-01-13,324.6
2012-01-16,321.6
2012-01-17,325.45
2012-01-18,320.05
2012-01-19,320.0
2012-01-20,320.5
2012-01-23,319.8
2012-01-24,331.45
2012-01-25,321.3
2012-01-27,320.6
2012-01-30,319.55
2012-01-31,323.25
2012-02-01,326.3
2012-02-02,325.6
2012-02-03,323.2
2012-02-06,321.65
2012-02-07,319.15
2012-02-08,320.55
2012-02-09,316.6
2012-02-10,315.3
2012-02-13,316.95
2012-02-14,315.1
2012-02-15,315.6
2012-02-16,315.0
2012-02-17,320.65
2012-02-21,318.9
2012-02-22,314.85
2012-02-23,310.0
2012-02-24,316.75
2012-02-27,309.15
2012-02-28,311.4
2012-02-29,308.95
2012-03-01,304.7
2012-03-02,315.15
2012-03-03,317.0
2012-03-05,311.35
2012-03-06,314.65
2012-03-07,311.9
2012-03-09,317.1
2012-03-12,314.4
2012-03-13,315.25
2012-03-14,314.3
2012-03-15,316.0
2012-03-16,309.55
2012-03-19,311.05
2012-03-20,310.05
2012-03-21,319.65
2012-03-22,324.95
2012-03-23,325.0
2012-03-26,318.0
2012-03-27,314.7
2012-03-28,324.95
2012-03-29,320.05
2012-03-30,317.05
2012-04-02,316.9
2012-04-03,322.2
2012-04-04,324.8
2012-04-09,332.7
2012-04-10,330.35
2012-04-11,334.3
2012-04-12,329.35
2012-04-13,324.85
2012-04-16,321.05
2012-04-17,324.55
2012-04-18,333.55
2012-04-19,335.3
2012-04-20,335.1
2012-04-23,328.55
2012-04-24,352.15
2012-04-25,353.7
2012-04-26,353.65
2012-04-27,348.45
2012-04-28,345.15
2012-04-30,359.8
2012-05-02,378.05
2012-05-03,364.75
2012-05-04,377.05
2012-05-07,373.45
2012-05-08,369.85
2012-05-09,364.75
2012-05-10,362.4
2012-05-11,362.5
2012-05-14,355.1
2012-05-15,354.15
2012-05-16,348.85
2012-05-17,351.5
2012-05-18,349.85
2012-05-21,348.95
2012-05-22,349.2
2012-05-23,344.0
2012-05-24,343.85
2012-05-25,342.1
2012-05-28,344.9
2012-05-29,342.2
2012-05-30,343.05
2012-05-31,343.4
2012-06-01,345.7
2012-06-04,341.2
2012-06-05,342.25
2012-06-06,348.15
2012-06-07,350.2
2012-06-08,351.05
2012-06-11,350.8
2012-06-12,348.9
2012-06-13,351.95
2012-06-14,349.4
2012-06-15,350.35
2012-06-18,353.0
2012-06-19,373.3
2012-06-20,376.55
2012-06-21,388.4
2012-06-22,385.4
2012-06-25,393.95
2012-06-26,395.75
2012-06-27,395.0
2012-06-28,398.65
2012-06-29,396.45
2012-07-02,396.1
2012-07-03,397.6
2012-07-04,394.65
2012-07-05,395.25
2012-07-06,383.6
2012-07-09,379.55
2012-07-09,379.55
2012-07-10,379.5
2012-07-11,395.05
2012-07-12,390.1
2012-07-13,390.0
2012-07-16,390.05
2012-07-17,389.95
2012-07-18,380.45
2012-07-19,393.2
2012-07-20,399.4
2012-07-23,382.7
2012-07-24,379.4
2012-07-25,377.4
2012-07-26,379.8
2012-07-27,366.8
2012-07-30,371.8
2012-07-31,384.85
2012-08-01,379.2
2012-08-02,373.15
2012-08-03,383.7
2012-08-06,375.2
2012-08-07,374.6
2012-08-08,376.1
2012-08-09,380.15
2012-08-10,379.45
2012-08-13,382.2
2012-08-14,383.85
2012-08-16,397.3
2012-08-17,399.9
2012-08-21,387.8
2012-08-22,373.4
2012-08-23,378.8
2012-08-24,374.35
2012-08-27,380.6
2012-08-28,379.6
2012-08-29,386.45
2012-08-30,390.25
2012-08-31,378.7
2012-09-03,384.35
2012-09-04,385.55
2012-09-05,380.95
2012-09-06,393.45
2012-09-07,395.0
2012-09-08,395.05
2012-09-10,387.8
2012-09-11,401.0
2012-09-12,416.05
2012-09-13,422.35
2012-09-14,419.0
2012-09-17,420.0
2012-09-18,413.35
2012-09-20,409.05
2012-09-21,412.55
2012-09-24,422.65
2012-09-25,419.35
2012-09-26,412.25
2012-09-27,414.45
2012-09-28,427.25
2012-10-01,434.2
2012-10-03,440.85
2012-10-04,434.35
2012-10-05,426.75
2012-10-08,428.35
2012-10-09,430.35
2012-10-10,423.75
2012-10-11,425.1
2012-10-12,425.7
2012-10-15,433.35
2012-10-16,436.0
2012-10-17,424.8
2012-10-18,428.2
2012-10-19,469.65
2012-10-22,470.55
2012-10-23,468.05
2012-10-25,474.35
2012-10-26,471.4
2012-10-29,461.45
2012-10-30,475.5
2012-10-31,479.55
2012-11-01,475.15
2012-11-02,479.5
2012-11-05,483.45
2012-11-06,480.5
2012-11-07,483.0
2012-11-08,486.05
2012-11-09,478.6
2012-11-12,483.5
2012-11-13,480.1
2012-11-15,480.5
2012-11-16,479.5
2012-11-19,476.05
2012-11-20,476.6
2012-11-21,473.6
2012-11-22,475.6
2012-11-23,476.6
2012-11-26,482.05
2012-11-27,479.05
2012-11-29,478.55
2012-11-30,481.0
2012-12-03,504.7
2012-12-04,504.8
2012-12-05,489.3
2012-12-06,491.9
2012-12-07,493.4
2012-12-10,492.3
2012-12-11,480.2
2012-12-12,485.0
2012-12-13,492.0
2012-12-14,491.9
2012-12-17,489.95
2012-12-18,493.3
2012-12-19,492.75
2012-12-20,502.25
2012-12-21,521.25
2012-12-24,513.4
2012-12-26,512.7
2012-12-27,514.1
2012-12-28,514.05
2012-12-31,512.2
