Date,BEML
2012-01-02,459.4
2012-01-03,466.3
2012-01-04,472.75
2012-01-05,471.1
2012-01-06,476.3
2012-01-07,486.0
2012-01-09,497.15
2012-01-10,507.1
2012-01-11,513.35
2012-01-12,516.0
2012-01-13,517.05
2012-01-16,517.8
2012-01-17,528.05
2012-01-18,508.9
2012-01-19,533.8
2012-01-20,528.3
2012-01-23,529.75
2012-01-24,529.75
2012-01-25,528.75
2012-01-27,529.55
2012-01-30,520.3
2012-01-31,530.3
2012-02-01,534.8
2012-02-02,532.1
2012-02-03,548.2
2012-02-06,573.3
2012-02-07,549.15
2012-02-08,555.75
2012-02-09,570.95
2012-02-10,577.85
2012-02-13,572.7
2012-02-14,587.2
2012-02-15,594.55
2012-02-16,608.75
2012-02-17,634.0
2012-02-21,637.7
2012-02-22,640.6
2012-02-23,644.65
2012-02-24,653.95
2012-02-27,643.1
2012-02-28,667.45
2012-02-29,665.6
2012-03-01,664.7
2012-03-02,662.45
2012-03-03,659.7
2012-03-05,666.9
2012-03-06,670.0
2012-03-07,660.55
2012-03-09,667.8
2012-03-12,688.95
2012-03-13,683.5
2012-03-14,688.75
2012-03-15,684.3
2012-03-16,689.4
2012-03-19,669.25
2012-03-20,660.7
2012-03-21,682.05
2012-03-22,671.5
2012-03-23,678.05
2012-03-26,669.85
2012-03-27,656.2
2012-03-28,624.95
2012-03-29,610.7
2012-03-30,653.65
2012-04-02,621.55
2012-04-03,618.4
2012-04-04,619.05
2012-04-09,608.7
2012-04-10,580.75
2012-04-11,565.85
2012-04-12,582.35
2012-04-13,584.5
2012-04-16,579.75
2012-04-17,573.95
2012-04-18,576.05
2012-04-19,561.9
2012-04-20,553.9
2012-04-23,554.75
2012-04-24,546.05
2012-04-25,547.4
2012-04-26,532.7
2012-04-27,529.75
2012-04-28,531.35
2012-04-30,533.6
2012-05-02,526.95
2012-05-03,523.75
2012-05-04,521.8
2012-05-07,513.0
2012-05-08,523.45
2012-05-09,519.45
2012-05-10,528.75
2012-05-11,527.45
2012-05-14,505.6
2012-05-15,517.95
2012-05-16,508.45
2012-05-17,515.55
2012-05-18,474.25
2012-05-21,482.65
2012-05-22,468.25
2012-05-23,462.15
2012-05-24,458.95
2012-05-25,455.9
2012-05-28,454.4
2012-05-29,436.05
2012-05-30,428.85
2012-05-31,430.4
2012-06-01,417.4
2012-06-04,417.45
2012-06-05,409.65
2012-06-06,410.25
2012-06-07,407.1
2012-06-08,383.85
2012-06-11,374.0
2012-06-12,384.0
2012-06-13,377.0
2012-06-14,370.3
2012-06-15,372.2
2012-06-18,370.65
2012-06-19,370.0
2012-06-20,378.55
2012-06-21,381.6
2012-06-22,378.45
2012-06-25,381.0
2012-06-26,382.7
2012-06-27,379.65
2012-06-28,375.0
2012-06-29,377.35
2012-07-02,394.05
2012-07-03,405.85
2012-07-04,408.85
2012-07-05,411.3
2012-07-06,407.4
2012-07-09,389.95
2012-07-09,389.95
2012-07-10,388.75
2012-07-11,385.4
2012-07-12,380.0
2012-07-13,376.9
2012-07-16,370.65
2012-07-17,365.45
2012-07-18,362.6
2012-07-19,364.05
2012-07-20,363.45
2012-07-23,354.7
2012-07-24,350.85
2012-07-25,337.7
2012-07-26,320.1
2012-07-27,311.4
2012-07-30,316.1
2012-07-31,318.5
2012-08-01,323.25
2012-08-02,325.45
2012-08-03,319.0
2012-08-06,317.8
2012-08-07,310.3
2012-08-08,309.85
2012-08-09,300.7
2012-08-10,287.4
2012-08-13,289.9
2012-08-14,291.7
2012-08-16,291.05
2012-08-17,283.05
2012-08-21,277.05
2012-08-22,278.05
2012-08-23,279.75
2012-08-24,270.45
2012-08-27,273.15
2012-08-28,278.05
2012-08-29,281.55
2012-08-30,277.35
2012-08-31,275.85
2012-09-03,278.75
2012-09-04,283.65
2012-09-05,284.95
2012-09-06,278.75
2012-09-07,280.1
2012-09-08,279.35
2012-09-10,278.85
2012-09-11,275.6
2012-09-12,274.0
2012-09-13,271.75
2012-09-14,278.3
2012-09-17,311.55
2012-09-18,316.55
2012-09-20,305.8
2012-09-21,313.1
2012-09-24,314.3
2012-09-25,313.75
2012-09-26,310.5
2012-09-27,305.0
2012-09-28,308.3
2012-10-01,310.55
2012-10-03,330.1
2012-10-04,331.05
2012-10-05,329.85
2012-10-08,323.25
2012-10-09,322.2
2012-10-10,315.45
2012-10-11,318.6
2012-10-12,318.35
2012-10-15,315.0
2012-10-16,309.85
2012-10-17,308.6
2012-10-18,314.15
2012-10-19,309.1
2012-10-22,303.7
2012-10-23,308.9
2012-10-25,310.05
2012-10-26,303.9
2012-10-29,301.2
2012-10-30,293.8
2012-10-31,289.25
2012-11-01,293.15
2012-11-02,295.4
2012-11-05,292.8
2012-11-06,292.05
2012-11-07,292.05
2012-11-08,291.75
2012-11-09,288.2
2012-11-12,277.4
2012-11-13,282.85
2012-11-15,278.5
2012-11-16,276.1
2012-11-19,274.85
2012-11-20,271.95
2012-11-21,271.45
2012-11-22,272.8
2012-11-23,272.0
2012-11-26,272.35
2012-11-27,272.7
2012-11-29,276.05
2012-11-30,283.7
2012-12-03,288.25
2012-12-04,291.6
2012-12-05,308.0
2012-12-06,311.2
2012-12-07,306.65
2012-12-10,305.5
2012-12-11,298.6
2012-12-12,295.15
2012-12-13,291.2
2012-12-14,288.75
2012-12-17,285.15
2012-12-18,282.85
2012-12-19,284.9
2012-12-20,281.1
2012-12-21,279.75
2012-12-24,279.5
2012-12-26,279.85
2012-12-27,279.4
2012-12-28,279.2
2012-12-31,279.3
