Date,GICHSGFIN
2012-01-02,71.65
2012-01-03,73.2
2012-01-04,73.2
2012-01-05,73.05
2012-01-06,73.25
2012-01-07,74.0
2012-01-09,75.4
2012-01-10,79.0
2012-01-11,78.85
2012-01-12,80.15
2012-01-13,82.75
2012-01-16,83.0
2012-01-17,85.4
2012-01-18,82.7
2012-01-19,83.7
2012-01-20,83.75
2012-01-23,83.15
2012-01-24,84.25
2012-01-25,84.2
2012-01-27,83.75
2012-01-30,83.55
2012-01-31,83.95
2012-02-01,84.35
2012-02-02,86.1
2012-02-03,91.6
2012-02-06,92.2
2012-02-07,89.8
2012-02-08,90.55
2012-02-09,91.55
2012-02-10,93.95
2012-02-13,97.15
2012-02-14,96.05
2012-02-15,96.7
2012-02-16,96.25
2012-02-17,94.3
2012-02-21,94.35
2012-02-22,89.6
2012-02-23,89.9
2012-02-24,88.85
2012-02-27,83.8
2012-02-28,86.0
2012-02-29,93.4
2012-03-01,93.65
2012-03-02,93.25
2012-03-03,92.15
2012-03-05,90.65
2012-03-06,89.15
2012-03-07,89.05
2012-03-09,89.95
2012-03-12,90.7
2012-03-13,92.55
2012-03-14,91.8
2012-03-15,90.9
2012-03-16,89.15
2012-03-19,87.7
2012-03-20,88.45
2012-03-21,89.9
2012-03-22,86.55
2012-03-23,86.45
2012-03-26,85.95
2012-03-27,85.7
2012-03-28,87.35
2012-03-29,88.35
2012-03-30,88.6
2012-04-02,89.9
2012-04-03,89.8
2012-04-04,88.2
2012-04-09,89.7
2012-04-10,90.4
2012-04-11,90.3
2012-04-12,90.6
2012-04-13,89.2
2012-04-16,93.1
2012-04-17,93.2
2012-04-18,93.25
2012-04-19,92.2
2012-04-20,91.2
2012-04-23,88.9
2012-04-24,88.35
2012-04-25,87.1
2012-04-26,86.3
2012-04-27,86.65
2012-04-28,86.45
2012-04-30,87.25
2012-05-02,88.0
2012-05-03,85.6
2012-05-04,85.85
2012-05-07,87.0
2012-05-08,88.5
2012-05-09,85.7
2012-05-10,85.3
2012-05-11,87.95
2012-05-14,86.15
2012-05-15,86.55
2012-05-16,86.35
2012-05-17,85.85
2012-05-18,86.0
2012-05-21,87.05
2012-05-22,86.55
2012-05-23,86.05
2012-05-24,86.3
2012-05-25,85.95
2012-05-28,86.85
2012-05-29,88.0
2012-05-30,87.1
2012-05-31,85.85
2012-06-01,85.95
2012-06-04,85.5
2012-06-05,85.95
2012-06-06,87.1
2012-06-07,86.6
2012-06-08,86.35
2012-06-11,87.25
2012-06-12,89.35
2012-06-13,89.9
2012-06-14,90.05
2012-06-15,91.0
2012-06-18,90.2
2012-06-19,90.05
2012-06-20,90.0
2012-06-21,90.35
2012-06-22,91.8
2012-06-25,93.25
2012-06-26,93.45
2012-06-27,92.95
2012-06-28,93.2
2012-06-29,94.75
2012-07-02,95.95
2012-07-03,95.65
2012-07-04,90.3
2012-07-05,89.35
2012-07-06,88.05
2012-07-09,86.0
2012-07-09,86.0
2012-07-10,86.25
2012-07-11,85.75
2012-07-12,84.75
2012-07-13,85.35
2012-07-16,84.55
2012-07-17,86.95
2012-07-18,88.75
2012-07-19,89.65
2012-07-20,89.5
2012-07-23,87.5
2012-07-24,86.1
2012-07-25,85.25
2012-07-26,85.1
2012-07-27,84.5
2012-07-30,84.45
2012-07-31,84.25
2012-08-01,85.7
2012-08-02,86.55
2012-08-03,85.6
2012-08-06,85.25
2012-08-07,86.05
2012-08-08,85.45
2012-08-09,85.15
2012-08-10,84.85
2012-08-13,84.5
2012-08-14,83.45
2012-08-16,83.85
2012-08-17,83.85
2012-08-21,84.45
2012-08-22,84.8
2012-08-23,88.2
2012-08-24,87.55
2012-08-27,86.85
2012-08-28,85.45
2012-08-29,85.0
2012-08-30,86.2
2012-08-31,85.4
2012-09-03,85.35
2012-09-04,84.55
2012-09-05,84.65
2012-09-06,84.75
2012-09-07,85.6
2012-09-08,85.5
2012-09-10,85.3
2012-09-11,85.5
2012-09-12,91.45
2012-09-13,86.85
2012-09-14,86.95
2012-09-17,87.5
2012-09-18,89.3
2012-09-20,89.25
2012-09-21,89.95
2012-09-24,95.6
2012-09-25,97.05
2012-09-26,96.65
2012-09-27,95.45
2012-09-28,95.65
2012-10-01,97.95
2012-10-03,95.6
2012-10-04,98.05
2012-10-05,96.6
2012-10-08,98.05
2012-10-09,99.85
2012-10-10,96.6
2012-10-11,96.3
2012-10-12,95.75
2012-10-15,96.1
2012-10-16,101.35
2012-10-17,106.2
2012-10-18,115.45
2012-10-19,113.25
2012-10-22,110.65
2012-10-23,113.75
2012-10-25,118.55
2012-10-26,121.75
2012-10-29,119.4
2012-10-30,116.2
2012-10-31,116.35
2012-11-01,116.45
2012-11-02,115.45
2012-11-05,114.5
2012-11-06,116.35
2012-11-07,121.75
2012-11-08,121.6
2012-11-09,118.6
2012-11-12,118.75
2012-11-13,119.45
2012-11-15,121.05
2012-11-16,121.95
2012-11-19,118.8
2012-11-20,115.2
2012-11-21,116.0
2012-11-22,116.35
2012-11-23,116.85
2012-11-26,118.5
2012-11-27,118.2
2012-11-29,115.9
2012-11-30,117.55
2012-12-03,118.05
2012-12-04,121.15
2012-12-05,124.45
2012-12-06,125.2
2012-12-07,125.45
2012-12-10,127.65
2012-12-11,127.9
2012-12-12,126.85
2012-12-13,125.95
2012-12-14,125.45
2012-12-17,127.85
2012-12-18,128.0
2012-12-19,126.45
2012-12-20,125.75
2012-12-21,121.75
2012-12-24,122.4
2012-12-26,122.45
2012-12-27,121.35
2012-12-28,126.05
2012-12-31,128.25
