Date,MERCATOR
2012-01-02,16.35
2012-01-03,17.3
2012-01-04,17.1
2012-01-05,17.15
2012-01-06,17.15
2012-01-07,17.3
2012-01-09,18.95
2012-01-10,19.9
2012-01-11,20.25
2012-01-12,20.15
2012-01-13,22.15
2012-01-16,23.3
2012-01-17,24.2
2012-01-18,22.45
2012-01-19,22.85
2012-01-20,22.75
2012-01-23,22.45
2012-01-24,22.8
2012-01-25,24.45
2012-01-27,24.85
2012-01-30,23.05
2012-01-31,24.35
2012-02-01,25.0
2012-02-02,26.2
2012-02-03,27.9
2012-02-06,28.55
2012-02-07,28.8
2012-02-08,30.1
2012-02-09,30.2
2012-02-10,29.75
2012-02-13,29.05
2012-02-14,31.5
2012-02-15,30.8
2012-02-16,31.65
2012-02-17,31.05
2012-02-21,32.55
2012-02-22,29.45
2012-02-23,29.1
2012-02-24,27.6
2012-02-27,26.1
2012-02-28,28.2
2012-02-29,28.95
2012-03-01,30.15
2012-03-02,30.3
2012-03-03,30.1
2012-03-05,29.0
2012-03-06,28.35
2012-03-07,28.25
2012-03-09,29.2
2012-03-12,30.4
2012-03-13,30.6
2012-03-14,29.55
2012-03-15,28.0
2012-03-16,26.25
2012-03-19,25.5
2012-03-20,26.45
2012-03-21,27.4
2012-03-22,25.25
2012-03-23,25.75
2012-03-26,24.9
2012-03-27,25.8
2012-03-28,24.3
2012-03-29,23.55
2012-03-30,25.25
2012-04-02,25.6
2012-04-03,25.9
2012-04-04,25.2
2012-04-09,24.4
2012-04-10,24.35
2012-04-11,23.5
2012-04-12,24.35
2012-04-13,23.35
2012-04-16,24.0
2012-04-17,24.3
2012-04-18,24.35
2012-04-19,25.2
2012-04-20,23.7
2012-04-23,23.35
2012-04-24,22.9
2012-04-25,21.75
2012-04-26,20.8
2012-04-27,20.8
2012-04-28,21.2
2012-04-30,21.3
2012-05-02,21.5
2012-05-03,21.05
2012-05-04,20.6
2012-05-07,20.55
2012-05-08,20.2
2012-05-09,19.5
2012-05-10,19.45
2012-05-11,19.5
2012-05-14,19.05
2012-05-15,19.1
2012-05-16,18.85
2012-05-17,19.0
2012-05-18,18.9
2012-05-21,19.1
2012-05-22,19.65
2012-05-23,19.85
2012-05-24,19.8
2012-05-25,19.7
2012-05-28,19.2
2012-05-29,19.2
2012-05-30,18.95
2012-05-31,16.85
2012-06-01,17.05
2012-06-04,17.15
2012-06-05,17.15
2012-06-06,17.6
2012-06-07,17.9
2012-06-08,17.8
2012-06-11,18.25
2012-06-12,18.05
2012-06-13,18.0
2012-06-14,17.7
2012-06-15,17.65
2012-06-18,17.9
2012-06-19,17.8
2012-06-20,17.9
2012-06-21,18.3
2012-06-22,18.25
2012-06-25,18.1
2012-06-26,18.05
2012-06-27,18.05
2012-06-28,19.25
2012-06-29,21.75
2012-07-02,22.15
2012-07-03,22.1
2012-07-04,22.15
2012-07-05,22.2
2012-07-06,21.6
2012-07-09,21.1
2012-07-09,21.1
2012-07-10,22.5
2012-07-11,22.35
2012-07-12,22.0
2012-07-13,21.5
2012-07-16,21.2
2012-07-17,20.7
2012-07-18,20.25
2012-07-19,20.65
2012-07-20,20.4
2012-07-23,19.8
2012-07-24,19.7
2012-07-25,19.25
2012-07-26,18.4
2012-07-27,18.15
2012-07-30,18.55
2012-07-31,18.9
2012-08-01,19.15
2012-08-02,19.05
2012-08-03,18.8
2012-08-06,19.65
2012-08-07,19.8
2012-08-08,19.3
2012-08-09,19.35
2012-08-10,18.95
2012-08-13,19.0
2012-08-14,18.85
2012-08-16,19.85
2012-08-17,20.3
2012-08-21,20.5
2012-08-22,20.6
2012-08-23,20.65
2012-08-24,20.25
2012-08-27,19.4
2012-08-28,18.8
2012-08-29,19.05
2012-08-30,19.0
2012-08-31,19.0
2012-09-03,18.95
2012-09-04,19.05
2012-09-05,18.85
2012-09-06,20.1
2012-09-07,22.25
2012-09-08,22.6
2012-09-10,21.9
2012-09-11,22.35
2012-09-12,22.4
2012-09-13,21.85
2012-09-14,21.5
2012-09-17,21.45
2012-09-18,21.75
2012-09-20,21.45
2012-09-21,21.6
2012-09-24,21.9
2012-09-25,21.7
2012-09-26,21.6
2012-09-27,21.75
2012-09-28,21.75
2012-10-01,22.0
2012-10-03,21.95
2012-10-04,22.95
2012-10-05,22.5
2012-10-08,22.2
2012-10-09,21.85
2012-10-10,21.7
2012-10-11,21.85
2012-10-12,21.45
2012-10-15,20.75
2012-10-16,20.75
2012-10-17,21.25
2012-10-18,21.5
2012-10-19,20.9
2012-10-22,20.6
2012-10-23,20.45
2012-10-25,20.15
2012-10-26,19.65
2012-10-29,21.2
2012-10-30,21.55
2012-10-31,21.25
2012-11-01,20.95
2012-11-02,20.65
2012-11-05,20.85
2012-11-06,20.55
2012-11-07,20.5
2012-11-08,20.4
2012-11-09,20.25
2012-11-12,20.25
2012-11-13,20.4
2012-11-15,19.95
2012-11-16,20.0
2012-11-19,19.65
2012-11-20,19.2
2012-11-21,19.45
2012-11-22,19.2
2012-11-23,19.15
2012-11-26,19.3
2012-11-27,19.55
2012-11-29,20.2
2012-11-30,20.3
2012-12-03,21.45
2012-12-04,21.6
2012-12-05,21.35
2012-12-06,21.1
2012-12-07,20.65
2012-12-10,20.7
2012-12-11,20.4
2012-12-12,20.45
2012-12-13,20.3
2012-12-14,20.1
2012-12-17,20.65
2012-12-18,20.3
2012-12-19,21.3
2012-12-20,21.15
2012-12-21,20.7
2012-12-24,20.4
2012-12-26,20.55
2012-12-27,20.4
2012-12-28,20.45
2012-12-31,20.3
