Date,BHARATIDIL
2012-01-02,68.2
2012-01-03,70.85
2012-01-04,70.7
2012-01-05,70.5
2012-01-06,70.95
2012-01-07,72.3
2012-01-09,74.65
2012-01-10,77.85
2012-01-11,88.3
2012-01-12,83.15
2012-01-13,85.4
2012-01-16,83.6
2012-01-17,85.5
2012-01-18,81.75
2012-01-19,83.55
2012-01-20,83.95
2012-01-23,83.7
2012-01-24,83.55
2012-01-25,88.85
2012-01-27,89.05
2012-01-30,85.4
2012-01-31,88.05
2012-02-01,92.2
2012-02-02,91.05
2012-02-03,92.9
2012-02-06,94.0
2012-02-07,90.15
2012-02-08,91.55
2012-02-09,94.2
2012-02-10,94.75
2012-02-13,88.5
2012-02-14,87.85
2012-02-15,94.55
2012-02-16,108.1
2012-02-17,105.9
2012-02-21,103.25
2012-02-22,96.65
2012-02-23,92.7
2012-02-24,93.05
2012-02-27,87.75
2012-02-28,90.15
2012-02-29,90.9
2012-03-01,91.5
2012-03-02,90.4
2012-03-03,91.4
2012-03-05,88.65
2012-03-06,87.0
2012-03-07,86.0
2012-03-09,87.55
2012-03-12,90.75
2012-03-13,93.55
2012-03-14,89.15
2012-03-15,85.75
2012-03-16,84.1
2012-03-19,82.55
2012-03-20,82.1
2012-03-21,83.5
2012-03-22,80.8
2012-03-23,81.3
2012-03-26,79.35
2012-03-27,78.65
2012-03-28,76.35
2012-03-29,77.0
2012-03-30,79.75
2012-04-02,81.45
2012-04-03,82.35
2012-04-04,82.5
2012-04-09,79.5
2012-04-10,79.9
2012-04-11,77.15
2012-04-12,78.7
2012-04-13,77.65
2012-04-16,78.05
2012-04-17,79.75
2012-04-18,80.6
2012-04-19,83.3
2012-04-20,83.4
2012-04-23,79.4
2012-04-24,78.7
2012-04-25,77.5
2012-04-26,77.05
2012-04-27,76.3
2012-04-28,77.35
2012-04-30,77.85
2012-05-02,77.75
2012-05-03,75.25
2012-05-04,72.65
2012-05-07,72.1
2012-05-08,71.6
2012-05-09,70.7
2012-05-10,69.9
2012-05-11,68.25
2012-05-14,66.95
2012-05-15,67.55
2012-05-16,66.75
2012-05-17,67.3
2012-05-18,66.4
2012-05-21,67.35
2012-05-22,66.8
2012-05-23,66.65
2012-05-24,67.55
2012-05-25,68.35
2012-05-28,68.6
2012-05-29,66.4
2012-05-30,64.3
2012-05-31,63.3
2012-06-01,61.8
2012-06-04,62.3
2012-06-05,61.8
2012-06-06,62.95
2012-06-07,63.4
2012-06-08,68.3
2012-06-11,67.3
2012-06-12,66.45
2012-06-13,67.1
2012-06-14,66.9
2012-06-15,66.95
2012-06-18,64.5
2012-06-19,64.55
2012-06-20,65.3
2012-06-21,66.8
2012-06-22,66.55
2012-06-25,66.3
2012-06-26,66.55
2012-06-27,66.75
2012-06-28,66.4
2012-06-29,71.0
2012-07-02,72.9
2012-07-03,72.05
2012-07-04,73.75
2012-07-05,76.35
2012-07-06,73.7
2012-07-09,72.15
2012-07-09,72.15
2012-07-10,73.85
2012-07-11,73.0
2012-07-12,71.6
2012-07-13,70.85
2012-07-16,69.75
2012-07-17,68.1
2012-07-18,67.7
2012-07-19,68.2
2012-07-20,67.75
2012-07-23,65.9
2012-07-24,64.8
2012-07-25,64.45
2012-07-26,63.3
2012-07-27,62.45
2012-07-30,63.6
2012-07-31,63.55
2012-08-01,64.1
2012-08-02,65.1
2012-08-03,64.15
2012-08-06,66.1
2012-08-07,67.7
2012-08-08,66.0
2012-08-09,65.85
2012-08-10,65.25
2012-08-13,65.75
2012-08-14,65.4
2012-08-16,64.45
2012-08-17,69.9
2012-08-21,68.15
2012-08-22,70.15
2012-08-23,69.85
2012-08-24,68.6
2012-08-27,66.85
2012-08-28,63.7
2012-08-29,62.85
2012-08-30,62.45
2012-08-31,62.4
2012-09-03,62.75
2012-09-04,63.45
2012-09-05,62.75
2012-09-06,62.65
2012-09-07,63.55
2012-09-08,63.85
2012-09-10,63.9
2012-09-11,64.25
2012-09-12,64.5
2012-09-13,64.15
2012-09-14,65.55
2012-09-17,66.55
2012-09-18,70.35
2012-09-20,66.9
2012-09-21,68.5
2012-09-24,70.55
2012-09-25,71.75
2012-09-26,70.6
2012-09-27,70.05
2012-09-28,70.75
2012-10-01,73.25
2012-10-03,73.15
2012-10-04,73.4
2012-10-05,76.9
2012-10-08,80.5
2012-10-09,80.75
2012-10-10,76.75
2012-10-11,77.65
2012-10-12,76.9
2012-10-15,75.9
2012-10-16,73.4
2012-10-17,74.7
2012-10-18,75.15
2012-10-19,74.8
2012-10-22,73.9
2012-10-23,74.7
2012-10-25,72.9
2012-10-26,70.35
2012-10-29,68.95
2012-10-30,68.25
2012-10-31,68.0
2012-11-01,69.95
2012-11-02,70.3
2012-11-05,69.3
2012-11-06,68.75
2012-11-07,69.6
2012-11-08,69.6
2012-11-09,69.1
2012-11-12,66.35
2012-11-13,66.7
2012-11-15,65.35
2012-11-16,65.1
2012-11-19,64.05
2012-11-20,63.0
2012-11-21,64.45
2012-11-22,63.65
2012-11-23,62.75
2012-11-26,63.55
2012-11-27,64.75
2012-11-29,66.4
2012-11-30,67.7
2012-12-03,69.05
2012-12-04,67.75
2012-12-05,69.1
2012-12-06,68.15
2012-12-07,69.55
2012-12-10,68.65
2012-12-11,67.3
2012-12-12,66.6
2012-12-13,65.1
2012-12-14,64.25
2012-12-17,64.6
2012-12-18,65.05
2012-12-19,69.05
2012-12-20,67.55
2012-12-21,64.95
2012-12-24,64.9
2012-12-26,65.6
2012-12-27,64.7
2012-12-28,64.65
2012-12-31,64.55
