Date,GEPIL
2012-01-02,299.1
2012-01-03,311.35
2012-01-04,315.3
2012-01-05,312.55
2012-01-06,307.1
2012-01-07,309.65
2012-01-09,327.9
2012-01-10,340.5
2012-01-11,363.2
2012-01-12,351.75
2012-01-13,371.25
2012-01-16,385.85
2012-01-17,392.2
2012-01-18,371.0
2012-01-19,377.5
2012-01-20,379.55
2012-01-23,371.8
2012-01-24,378.6
2012-01-25,366.8
2012-01-27,354.2
2012-01-30,333.0
2012-01-31,336.5
2012-02-01,350.45
2012-02-02,370.85
2012-02-03,377.45
2012-02-06,378.25
2012-02-07,363.35
2012-02-08,374.75
2012-02-09,379.6
2012-02-10,371.4
2012-02-13,383.0
2012-02-14,416.4
2012-02-15,421.8
2012-02-16,424.0
2012-02-17,418.7
2012-02-21,417.35
2012-02-22,388.25
2012-02-23,369.4
2012-02-24,371.85
2012-02-27,353.3
2012-02-28,370.65
2012-02-29,377.5
2012-03-01,367.25
2012-03-02,367.7
2012-03-03,367.5
2012-03-05,360.3
2012-03-06,352.15
2012-03-07,347.8
2012-03-09,373.2
2012-03-12,373.0
2012-03-13,388.95
2012-03-14,390.65
2012-03-15,379.3
2012-03-16,376.3
2012-03-19,364.9
2012-03-20,372.5
2012-03-21,383.4
2012-03-22,369.0
2012-03-23,364.75
2012-03-26,355.95
2012-03-27,354.0
2012-03-28,350.7
2012-03-29,340.25
2012-03-30,355.7
2012-04-02,361.45
2012-04-03,367.45
2012-04-04,364.4
2012-04-09,349.05
2012-04-10,350.05
2012-04-11,346.85
2012-04-12,363.5
2012-04-13,359.45
2012-04-16,368.9
2012-04-17,385.45
2012-04-18,381.0
2012-04-19,395.4
2012-04-20,390.4
2012-04-23,389.0
2012-04-24,395.7
2012-04-25,408.3
2012-04-26,411.35
2012-04-27,394.45
2012-04-28,393.5
2012-04-30,392.15
2012-05-02,380.2
2012-05-03,367.75
2012-05-04,357.4
2012-05-07,369.35
2012-05-08,359.75
2012-05-09,354.5
2012-05-10,349.75
2012-05-11,345.2
2012-05-14,349.25
2012-05-15,350.95
2012-05-16,351.25
2012-05-17,343.85
2012-05-18,354.0
2012-05-21,358.1
2012-05-22,361.6
2012-05-23,350.6
2012-05-24,358.2
2012-05-25,361.8
2012-05-28,354.55
2012-05-29,357.15
2012-05-30,348.6
2012-05-31,343.8
2012-06-01,338.95
2012-06-04,335.95
2012-06-05,342.3
2012-06-06,349.85
2012-06-07,350.45
2012-06-08,352.9
2012-06-11,346.3
2012-06-12,349.9
2012-06-13,355.4
2012-06-14,344.65
2012-06-15,356.7
2012-06-18,355.35
2012-06-19,366.6
2012-06-20,373.05
2012-06-21,374.25
2012-06-22,371.45
2012-06-25,371.5
2012-06-26,370.4
2012-06-27,384.2
2012-06-28,379.05
2012-06-29,391.35
2012-07-02,386.3
2012-07-03,388.95
2012-07-04,397.3
2012-07-05,418.45
2012-07-06,411.6
2012-07-09,408.25
2012-07-09,408.25
2012-07-10,413.05
2012-07-11,411.5
2012-07-12,403.65
2012-07-13,402.65
2012-07-16,407.15
2012-07-17,385.0
2012-07-18,387.55
2012-07-19,394.0
2012-07-20,388.55
2012-07-23,379.0
2012-07-24,380.15
2012-07-25,377.1
2012-07-26,377.25
2012-07-27,363.05
2012-07-30,366.35
2012-07-31,364.25
2012-08-01,384.1
2012-08-02,391.4
2012-08-03,386.15
2012-08-06,382.6
2012-08-07,384.75
2012-08-08,380.45
2012-08-09,376.35
2012-08-10,374.85
2012-08-13,371.5
2012-08-14,372.1
2012-08-16,377.95
2012-08-17,382.55
2012-08-21,381.65
2012-08-22,385.25
2012-08-23,404.5
2012-08-24,392.2
2012-08-27,398.55
2012-08-28,388.0
2012-08-29,374.4
2012-08-30,377.15
2012-08-31,374.0
2012-09-03,376.55
2012-09-04,377.0
2012-09-05,377.1
2012-09-06,380.45
2012-09-07,380.4
2012-09-08,380.15
2012-09-10,380.65
2012-09-11,375.7
2012-09-12,373.25
2012-09-13,366.8
2012-09-14,370.7
2012-09-17,373.9
2012-09-18,379.6
2012-09-20,395.05
2012-09-21,404.55
2012-09-24,406.25
2012-09-25,402.25
2012-09-26,401.25
2012-09-27,400.1
2012-09-28,403.05
2012-10-01,407.05
2012-10-03,410.45
2012-10-04,418.3
2012-10-05,407.05
2012-10-08,402.15
2012-10-09,400.35
2012-10-10,395.2
2012-10-11,400.65
2012-10-12,399.8
2012-10-15,404.9
2012-10-16,411.6
2012-10-17,414.1
2012-10-18,418.85
2012-10-19,421.3
2012-10-22,424.8
2012-10-23,418.15
2012-10-25,421.6
2012-10-26,423.05
2012-10-29,415.45
2012-10-30,413.8
2012-10-31,409.15
2012-11-01,421.8
2012-11-02,415.75
2012-11-05,417.6
2012-11-06,412.7
2012-11-07,411.1
2012-11-08,415.25
2012-11-09,411.3
2012-11-12,414.6
2012-11-13,420.1
2012-11-15,413.85
2012-11-16,409.55
2012-11-19,407.45
2012-11-20,410.3
2012-11-21,410.25
2012-11-22,414.85
2012-11-23,412.5
2012-11-26,411.35
2012-11-27,421.35
2012-11-29,422.35
2012-11-30,418.1
2012-12-03,418.5
2012-12-04,423.45
2012-12-05,418.9
2012-12-06,418.6
2012-12-07,419.9
2012-12-10,416.75
2012-12-11,414.8
2012-12-12,413.8
2012-12-13,410.25
2012-12-14,413.0
2012-12-17,412.0
2012-12-18,408.3
2012-12-19,405.2
2012-12-20,401.2
2012-12-21,397.15
2012-12-24,393.75
2012-12-26,405.8
2012-12-27,394.5
2012-12-28,399.1
2012-12-31,412.2
