Date,EDL
2012-01-02,55.3
2012-01-03,59.85
2012-01-04,60.25
2012-01-05,60.6
2012-01-06,62.65
2012-01-07,64.15
2012-01-09,62.45
2012-01-10,65.15
2012-01-11,66.7
2012-01-12,68.35
2012-01-13,69.95
2012-01-16,68.05
2012-01-17,68.45
2012-01-18,69.75
2012-01-19,70.85
2012-01-20,67.35
2012-01-23,61.5
2012-01-24,62.65
2012-01-25,63.85
2012-01-27,67.45
2012-01-30,68.45
2012-01-31,68.6
2012-02-01,69.6
2012-02-02,68.95
2012-02-03,68.95
2012-02-06,71.5
2012-02-07,73.6
2012-02-08,73.9
2012-02-09,75.0
2012-02-10,74.45
2012-02-13,73.55
2012-02-14,74.0
2012-02-15,76.15
2012-02-16,75.6
2012-02-17,76.0
2012-02-21,76.25
2012-02-22,72.55
2012-02-23,71.35
2012-02-24,70.65
2012-02-27,68.35
2012-02-28,70.0
2012-02-29,70.4
2012-03-01,69.55
2012-03-02,69.6
2012-03-03,69.8
2012-03-05,68.25
2012-03-06,68.75
2012-03-07,68.5
2012-03-09,68.6
2012-03-12,69.65
2012-03-13,69.95
2012-03-14,70.0
2012-03-15,69.35
2012-03-16,68.85
2012-03-19,67.7
2012-03-20,68.2
2012-03-21,69.3
2012-03-22,68.85
2012-03-23,67.95
2012-03-26,66.35
2012-03-27,66.9
2012-03-28,65.5
2012-03-29,65.1
2012-03-30,65.15
2012-04-02,66.35
2012-04-03,67.9
2012-04-04,68.15
2012-04-09,67.55
2012-04-10,67.45
2012-04-11,68.45
2012-04-12,68.85
2012-04-13,68.05
2012-04-16,68.75
2012-04-17,68.85
2012-04-18,68.05
2012-04-19,69.75
2012-04-20,70.65
2012-04-23,68.45
2012-04-24,68.55
2012-04-25,67.2
2012-04-26,66.5
2012-04-27,67.3
2012-04-28,68.0
2012-04-30,68.25
2012-05-02,66.8
2012-05-03,66.3
2012-05-04,64.0
2012-05-07,65.2
2012-05-08,64.7
2012-05-09,64.25
2012-05-10,63.35
2012-05-11,62.5
2012-05-14,63.05
2012-05-15,62.85
2012-05-16,62.3
2012-05-17,61.7
2012-05-18,63.4
2012-05-21,64.55
2012-05-22,64.85
2012-05-23,63.95
2012-05-24,62.85
2012-05-25,63.1
2012-05-28,63.95
2012-05-29,64.15
2012-05-30,63.25
2012-05-31,62.2
2012-06-01,61.25
2012-06-04,61.25
2012-06-05,60.65
2012-06-06,61.75
2012-06-07,60.95
2012-06-08,61.55
2012-06-11,62.25
2012-06-12,62.35
2012-06-13,62.7
2012-06-14,62.7
2012-06-15,63.05
2012-06-18,61.9
2012-06-19,63.25
2012-06-20,62.7
2012-06-21,62.6
2012-06-22,62.3
2012-06-25,63.0
2012-06-26,62.65
2012-06-27,68.05
2012-06-28,73.95
2012-06-29,70.2
2012-07-02,70.8
2012-07-03,73.15
2012-07-04,74.0
2012-07-05,74.0
2012-07-06,72.95
2012-07-09,73.45
2012-07-09,73.45
2012-07-10,72.95
2012-07-11,71.65
2012-07-12,70.7
2012-07-13,70.65
2012-07-16,70.2
2012-07-17,69.35
2012-07-18,69.85
2012-07-19,69.65
2012-07-20,68.75
2012-07-23,68.85
2012-07-24,69.55
2012-07-25,68.65
2012-07-26,67.5
2012-07-27,66.1
2012-07-30,67.25
2012-07-31,66.7
2012-08-01,66.85
2012-08-02,68.45
2012-08-03,69.9
2012-08-06,72.2
2012-08-07,71.4
2012-08-08,71.0
2012-08-09,72.05
2012-08-10,72.25
2012-08-13,67.0
2012-08-14,68.05
2012-08-16,67.3
2012-08-17,68.05
2012-08-21,68.0
2012-08-22,67.95
2012-08-23,67.3
2012-08-24,66.5
2012-08-27,67.2
2012-08-28,66.25
2012-08-29,65.7
2012-08-30,65.7
2012-08-31,65.1
2012-09-03,65.35
2012-09-04,65.75
2012-09-05,64.5
2012-09-06,64.6
2012-09-07,65.1
2012-09-08,65.0
2012-09-10,65.85
2012-09-11,65.95
2012-09-12,65.5
2012-09-13,65.65
2012-09-14,64.9
2012-09-17,65.2
2012-09-18,65.65
2012-09-20,64.65
2012-09-21,66.2
2012-09-24,66.75
2012-09-25,69.4
2012-09-26,72.0
2012-09-27,73.0
2012-09-28,70.0
2012-10-01,68.45
2012-10-03,71.1
2012-10-04,80.65
2012-10-05,80.9
2012-10-08,80.55
2012-10-09,85.65
2012-10-10,84.8
2012-10-11,81.9
2012-10-12,82.0
2012-10-15,82.15
2012-10-16,79.3
2012-10-17,82.15
2012-10-18,82.6
2012-10-19,85.35
2012-10-22,87.1
2012-10-23,83.5
2012-10-25,84.7
2012-10-26,82.8
2012-10-29,81.35
2012-10-30,78.95
2012-10-31,77.6
2012-11-01,78.85
2012-11-02,76.25
2012-11-05,74.9
2012-11-06,72.95
2012-11-07,74.05
2012-11-08,77.15
2012-11-09,77.45
2012-11-12,79.95
2012-11-13,82.5
2012-11-15,90.4
2012-11-16,86.7
2012-11-19,85.15
2012-11-20,86.3
2012-11-21,86.3
2012-11-22,88.7
2012-11-23,89.05
2012-11-26,87.15
2012-11-27,83.35
2012-11-29,84.5
2012-11-30,85.1
2012-12-03,86.8
2012-12-04,82.45
2012-12-05,80.2
2012-12-06,79.5
2012-12-07,78.15
2012-12-10,77.2
2012-12-11,76.95
2012-12-12,76.7
2012-12-13,74.55
2012-12-14,74.65
2012-12-17,74.65
2012-12-18,74.6
2012-12-19,74.7
2012-12-20,73.7
2012-12-21,72.05
2012-12-24,69.9
2012-12-26,71.45
2012-12-27,71.8
2012-12-28,73.65
2012-12-31,74.8
