Date,MRPL
2012-01-02,51.05
2012-01-03,53.4
2012-01-04,53.45
2012-01-05,53.7
2012-01-06,53.85
2012-01-07,54.1
2012-01-09,54.35
2012-01-10,55.8
2012-01-11,56.45
2012-01-12,56.65
2012-01-13,57.5
2012-01-16,58.65
2012-01-17,58.85
2012-01-18,56.85
2012-01-19,57.7
2012-01-20,57.25
2012-01-23,58.45
2012-01-24,60.05
2012-01-25,61.35
2012-01-27,61.2
2012-01-30,60.1
2012-01-31,61.2
2012-02-01,61.55
2012-02-02,60.7
2012-02-03,62.5
2012-02-06,66.15
2012-02-07,66.5
2012-02-08,67.95
2012-02-09,69.05
2012-02-10,70.2
2012-02-13,72.65
2012-02-14,72.4
2012-02-15,71.55
2012-02-16,71.45
2012-02-17,71.25
2012-02-21,72.55
2012-02-22,67.5
2012-02-23,68.25
2012-02-24,67.5
2012-02-27,67.2
2012-02-28,71.05
2012-02-29,71.05
2012-03-01,69.95
2012-03-02,70.3
2012-03-03,70.85
2012-03-05,70.1
2012-03-06,67.45
2012-03-07,67.0
2012-03-09,69.0
2012-03-12,69.45
2012-03-13,68.7
2012-03-14,68.25
2012-03-15,66.55
2012-03-16,65.9
2012-03-19,66.05
2012-03-20,66.85
2012-03-21,68.8
2012-03-22,64.8
2012-03-23,62.55
2012-03-26,61.35
2012-03-27,62.25
2012-03-28,59.45
2012-03-29,60.85
2012-03-30,68.2
2012-04-02,67.75
2012-04-03,68.75
2012-04-04,67.75
2012-04-09,64.9
2012-04-10,65.6
2012-04-11,65.0
2012-04-12,66.8
2012-04-13,63.95
2012-04-16,64.9
2012-04-17,67.15
2012-04-18,66.7
2012-04-19,65.85
2012-04-20,62.35
2012-04-23,61.9
2012-04-24,62.9
2012-04-25,61.6
2012-04-26,61.6
2012-04-27,61.45
2012-04-28,61.75
2012-04-30,62.15
2012-05-02,61.5
2012-05-03,60.85
2012-05-04,59.1
2012-05-07,58.7
2012-05-08,56.8
2012-05-09,56.6
2012-05-10,55.7
2012-05-11,55.95
2012-05-14,55.05
2012-05-15,57.0
2012-05-16,56.9
2012-05-17,56.75
2012-05-18,58.4
2012-05-21,58.5
2012-05-22,57.35
2012-05-23,57.2
2012-05-24,58.45
2012-05-25,58.15
2012-05-28,58.6
2012-05-29,57.85
2012-05-30,55.55
2012-05-31,55.65
2012-06-01,53.7
2012-06-04,52.1
2012-06-05,52.35
2012-06-06,52.7
2012-06-07,53.75
2012-06-08,52.7
2012-06-11,51.8
2012-06-12,51.95
2012-06-13,52.65
2012-06-14,52.35
2012-06-15,52.85
2012-06-18,53.2
2012-06-19,52.7
2012-06-20,52.75
2012-06-21,54.5
2012-06-22,54.4
2012-06-25,54.8
2012-06-26,54.65
2012-06-27,54.65
2012-06-28,53.2
2012-06-29,54.35
2012-07-02,55.8
2012-07-03,60.5
2012-07-04,59.05
2012-07-05,59.4
2012-07-06,58.7
2012-07-09,59.0
2012-07-09,59.0
2012-07-10,59.2
2012-07-11,60.0
2012-07-12,58.5
2012-07-13,58.4
2012-07-16,58.25
2012-07-17,57.2
2012-07-18,57.25
2012-07-19,58.9
2012-07-20,58.15
2012-07-23,57.0
2012-07-24,58.4
2012-07-25,56.95
2012-07-26,56.8
2012-07-27,54.85
2012-07-30,57.35
2012-07-31,58.45
2012-08-01,57.65
2012-08-02,57.7
2012-08-03,55.9
2012-08-06,56.45
2012-08-07,57.55
2012-08-08,58.0
2012-08-09,58.0
2012-08-10,58.85
2012-08-13,58.8
2012-08-14,58.55
2012-08-16,60.2
2012-08-17,63.5
2012-08-21,66.3
2012-08-22,64.55
2012-08-23,62.85
2012-08-24,61.45
2012-08-27,64.6
2012-08-28,64.4
2012-08-29,62.35
2012-08-30,63.0
2012-08-31,61.85
2012-09-03,60.4
2012-09-04,61.4
2012-09-05,61.2
2012-09-06,61.65
2012-09-07,61.5
2012-09-08,62.55
2012-09-10,61.65
2012-09-11,61.7
2012-09-12,61.1
2012-09-13,61.1
2012-09-14,61.45
2012-09-17,60.4
2012-09-18,60.15
2012-09-20,59.05
2012-09-21,59.95
2012-09-24,59.6
2012-09-25,59.2
2012-09-26,59.2
2012-09-27,60.25
2012-09-28,61.0
2012-10-01,61.7
2012-10-03,64.45
2012-10-04,65.75
2012-10-05,68.4
2012-10-08,66.3
2012-10-09,67.65
2012-10-10,65.4
2012-10-11,66.0
2012-10-12,65.45
2012-10-15,65.7
2012-10-16,66.2
2012-10-17,65.2
2012-10-18,66.75
2012-10-19,65.7
2012-10-22,65.7
2012-10-23,65.6
2012-10-25,65.95
2012-10-26,65.5
2012-10-29,65.3
2012-10-30,63.3
2012-10-31,63.8
2012-11-01,64.1
2012-11-02,64.95
2012-11-05,65.9
2012-11-06,66.65
2012-11-07,65.85
2012-11-08,65.15
2012-11-09,64.35
2012-11-12,63.35
2012-11-13,63.8
2012-11-15,63.55
2012-11-16,62.7
2012-11-19,62.15
2012-11-20,62.2
2012-11-21,62.45
2012-11-22,62.0
2012-11-23,61.45
2012-11-26,59.95
2012-11-27,59.9
2012-11-29,60.9
2012-11-30,60.6
2012-12-03,63.4
2012-12-04,63.15
2012-12-05,61.55
2012-12-06,61.75
2012-12-07,62.3
2012-12-10,62.35
2012-12-11,61.85
2012-12-12,61.85
2012-12-13,60.85
2012-12-14,61.3
2012-12-17,61.5
2012-12-18,61.55
2012-12-19,61.15
2012-12-20,61.35
2012-12-21,61.25
2012-12-24,61.05
2012-12-26,60.95
2012-12-27,60.3
2012-12-28,60.2
2012-12-31,61.05
