Date,UBL
2012-01-02,388.0
2012-01-03,388.15
2012-01-04,391.95
2012-01-05,426.85
2012-01-06,412.65
2012-01-07,407.75
2012-01-09,414.4
2012-01-10,417.8
2012-01-11,419.35
2012-01-12,473.35
2012-01-13,444.0
2012-01-16,462.75
2012-01-17,465.5
2012-01-18,444.45
2012-01-19,445.0
2012-01-20,442.1
2012-01-23,418.35
2012-01-24,407.85
2012-01-25,412.3
2012-01-27,415.75
2012-01-30,410.55
2012-01-31,409.7
2012-02-01,428.2
2012-02-02,439.95
2012-02-03,442.9
2012-02-06,454.5
2012-02-07,456.15
2012-02-08,455.15
2012-02-09,460.15
2012-02-10,458.65
2012-02-13,454.8
2012-02-14,455.15
2012-02-15,456.7
2012-02-16,454.65
2012-02-17,454.95
2012-02-21,452.05
2012-02-22,462.4
2012-02-23,454.1
2012-02-24,442.75
2012-02-27,440.85
2012-02-28,449.75
2012-02-29,458.5
2012-03-01,467.6
2012-03-02,457.75
2012-03-03,453.5
2012-03-05,456.75
2012-03-06,458.0
2012-03-07,455.1
2012-03-09,458.15
2012-03-12,541.85
2012-03-13,613.85
2012-03-14,544.45
2012-03-15,554.45
2012-03-16,547.0
2012-03-19,540.7
2012-03-20,546.9
2012-03-21,550.2
2012-03-22,544.25
2012-03-23,542.05
2012-03-26,540.25
2012-03-27,538.9
2012-03-28,545.5
2012-03-29,548.7
2012-03-30,539.2
2012-04-02,546.2
2012-04-03,542.7
2012-04-04,548.4
2012-04-09,542.05
2012-04-10,539.2
2012-04-11,512.0
2012-04-12,494.4
2012-04-13,494.4
2012-04-16,501.9
2012-04-17,514.6
2012-04-18,515.85
2012-04-19,526.55
2012-04-20,518.25
2012-04-23,515.3
2012-04-24,527.15
2012-04-25,533.15
2012-04-26,522.4
2012-04-27,527.15
2012-04-28,526.0
2012-04-30,536.3
2012-05-02,556.9
2012-05-03,562.9
2012-05-04,553.2
2012-05-07,527.75
2012-05-08,532.65
2012-05-09,523.45
2012-05-10,520.55
2012-05-11,511.75
2012-05-14,499.0
2012-05-15,493.05
2012-05-16,482.6
2012-05-17,482.05
2012-05-18,481.75
2012-05-21,479.9
2012-05-22,472.45
2012-05-23,476.2
2012-05-24,481.0
2012-05-25,478.7
2012-05-28,481.45
2012-05-29,480.5
2012-05-30,470.0
2012-05-31,481.7
2012-06-01,484.4
2012-06-04,483.65
2012-06-05,479.9
2012-06-06,492.4
2012-06-07,494.2
2012-06-08,485.1
2012-06-11,482.15
2012-06-12,481.75
2012-06-13,515.5
2012-06-14,514.6
2012-06-15,512.85
2012-06-18,499.0
2012-06-19,492.95
2012-06-20,500.75
2012-06-21,502.1
2012-06-22,498.35
2012-06-25,497.35
2012-06-26,498.8
2012-06-27,529.9
2012-06-28,545.2
2012-06-29,544.55
2012-07-02,546.75
2012-07-03,555.65
2012-07-04,543.6
2012-07-05,544.8
2012-07-06,535.2
2012-07-09,533.65
2012-07-10,544.45
2012-07-11,537.05
2012-07-12,544.55
2012-07-13,537.05
2012-07-16,517.55
2012-07-17,499.75
2012-07-18,499.6
2012-07-19,494.6
2012-07-20,504.05
2012-07-23,475.75
2012-07-24,502.85
2012-07-25,549.15
2012-07-26,538.3
2012-07-27,544.95
2012-07-30,553.35
2012-07-31,556.9
2012-08-01,578.65
2012-08-02,579.25
2012-08-03,576.3
2012-08-06,566.95
2012-08-07,558.1
2012-08-08,539.6
2012-08-09,534.35
2012-08-10,518.8
2012-08-13,566.9
2012-08-14,556.25
2012-08-16,569.8
2012-08-17,577.35
2012-08-21,563.45
2012-08-22,546.4
2012-08-23,547.5
2012-08-24,562.85
2012-08-27,577.25
2012-08-28,629.85
2012-08-29,630.75
2012-08-30,618.6
2012-08-31,624.35
2012-09-03,652.45
2012-09-04,643.0
2012-09-05,637.3
2012-09-06,628.75
2012-09-07,618.35
2012-09-08,614.25
2012-09-10,595.85
2012-09-11,569.4
2012-09-12,551.45
2012-09-13,622.75
2012-09-14,607.3
2012-09-17,627.5
2012-09-18,637.8
2012-09-20,619.7
2012-09-21,645.65
2012-09-24,665.6
2012-09-25,704.85
2012-09-26,702.85
2012-09-27,709.8
2012-09-28,653.55
2012-10-01,648.35
2012-10-03,652.1
2012-10-04,656.15
2012-10-05,676.8
2012-10-08,668.3
2012-10-09,698.2
2012-10-10,672.9
2012-10-11,686.0
2012-10-12,677.3
2012-10-15,681.4
2012-10-16,680.45
2012-10-17,674.65
2012-10-18,664.35
2012-10-19,667.95
2012-10-22,675.45
2012-10-23,673.85
2012-10-25,703.55
2012-10-26,734.85
2012-10-29,776.05
2012-10-30,746.5
2012-10-31,771.5
2012-11-01,773.05
2012-11-02,773.6
2012-11-05,779.2
2012-11-06,783.5
2012-11-07,774.7
2012-11-08,788.25
2012-11-09,791.7
2012-11-12,756.5
2012-11-13,872.55
2012-11-15,788.85
2012-11-16,761.45
2012-11-19,773.3
2012-11-20,752.75
2012-11-21,754.65
2012-11-22,753.3
2012-11-23,767.85
2012-11-26,756.15
2012-11-27,757.1
2012-11-29,761.1
2012-11-30,798.6
2012-12-03,842.7
2012-12-04,1000.65
2012-12-05,884.95
2012-12-06,912.65
2012-12-07,917.7
2012-12-10,921.35
2012-12-11,953.6
2012-12-12,956.4
2012-12-13,936.5
2012-12-14,922.65
2012-12-17,916.95
2012-12-18,931.85
2012-12-19,952.3
2012-12-20,961.9
2012-12-21,933.35
2012-12-24,951.35
2012-12-26,950.8
2012-12-27,951.1
2012-12-28,952.45
2012-12-31,927.95
