Date,KGL
2012-01-02,4.4
2012-01-03,4.6
2012-01-04,4.8
2012-01-05,4.65
2012-01-06,4.8
2012-01-07,4.75
2012-01-09,4.75
2012-01-10,5.0
2012-01-11,5.05
2012-01-12,4.9
2012-01-13,4.95
2012-01-16,5.45
2012-01-17,5.85
2012-01-18,5.55
2012-01-19,5.6
2012-01-20,5.65
2012-01-23,5.6
2012-01-24,5.45
2012-01-25,5.45
2012-01-27,5.65
2012-01-30,5.55
2012-01-31,5.6
2012-02-01,5.65
2012-02-02,5.6
2012-02-03,5.65
2012-02-06,6.0
2012-02-07,6.3
2012-02-08,6.6
2012-02-09,6.7
2012-02-10,6.05
2012-02-13,5.8
2012-02-14,6.0
2012-02-15,6.3
2012-02-16,6.25
2012-02-17,6.25
2012-02-21,6.4
2012-02-22,6.0
2012-02-23,6.0
2012-02-24,5.9
2012-02-27,5.55
2012-02-28,5.8
2012-02-29,5.6
2012-03-01,5.65
2012-03-02,5.65
2012-03-03,5.6
2012-03-05,5.65
2012-03-06,5.9
2012-03-07,5.55
2012-03-09,5.55
2012-03-12,5.55
2012-03-13,5.6
2012-03-14,5.45
2012-03-15,5.35
2012-03-16,5.35
2012-03-19,5.1
2012-03-20,4.95
2012-03-21,5.0
2012-03-22,4.8
2012-03-23,4.9
2012-03-26,5.1
2012-03-27,4.8
2012-03-28,4.65
2012-03-29,4.55
2012-03-30,4.65
2012-04-02,4.85
2012-04-03,5.05
2012-04-04,5.05
2012-04-09,5.1
2012-04-10,5.05
2012-04-11,4.95
2012-04-12,4.9
2012-04-13,4.75
2012-04-16,4.85
2012-04-17,4.9
2012-04-18,5.15
2012-04-19,5.0
2012-04-20,4.95
2012-04-23,5.0
2012-04-24,4.95
2012-04-25,5.0
2012-04-26,4.9
2012-04-27,5.0
2012-04-28,5.05
2012-04-30,4.95
2012-05-02,4.9
2012-05-03,4.85
2012-05-04,4.95
2012-05-07,4.8
2012-05-08,4.7
2012-05-09,4.55
2012-05-10,4.6
2012-05-11,4.75
2012-05-14,4.7
2012-05-15,4.9
2012-05-16,5.05
2012-05-17,5.05
2012-05-18,4.9
2012-05-21,4.85
2012-05-22,4.75
2012-05-23,4.65
2012-05-24,4.65
2012-05-25,4.55
2012-05-28,4.6
2012-05-29,4.6
2012-05-30,4.6
2012-05-31,4.55
2012-06-01,4.85
2012-06-04,4.85
2012-06-05,4.8
2012-06-06,4.8
2012-06-07,4.8
2012-06-08,4.65
2012-06-11,4.55
2012-06-12,4.45
2012-06-13,4.6
2012-06-14,4.5
2012-06-15,4.6
2012-06-18,4.55
2012-06-19,4.5
2012-06-20,4.55
2012-06-21,4.55
2012-06-22,4.5
2012-06-25,4.5
2012-06-26,4.45
2012-06-27,4.45
2012-06-28,4.35
2012-06-29,4.35
2012-07-02,4.55
2012-07-03,4.75
2012-07-04,4.8
2012-07-05,4.9
2012-07-06,4.8
2012-07-09,4.65
2012-07-09,4.65
2012-07-10,4.7
2012-07-11,4.65
2012-07-12,4.6
2012-07-13,4.6
2012-07-16,4.45
2012-07-17,4.45
2012-07-18,4.4
2012-07-19,4.45
2012-07-20,4.55
2012-07-23,4.45
2012-07-24,4.45
2012-07-25,4.4
2012-07-26,4.05
2012-07-27,4.1
2012-07-30,4.1
2012-07-31,4.1
2012-08-01,4.15
2012-08-02,4.3
2012-08-03,4.2
2012-08-06,4.25
2012-08-07,4.25
2012-08-08,4.25
2012-08-09,4.25
2012-08-10,4.25
2012-08-13,4.2
2012-08-14,4.2
2012-08-16,4.05
2012-08-17,4.15
2012-08-21,4.15
2012-08-22,4.05
2012-08-23,3.95
2012-08-24,3.95
2012-08-27,3.9
2012-08-28,3.8
2012-08-29,3.6
2012-08-30,3.85
2012-08-31,3.75
2012-09-03,3.65
2012-09-04,3.65
2012-09-05,3.65
2012-09-06,3.65
2012-09-07,3.6
2012-09-08,3.65
2012-09-10,3.55
2012-09-11,3.1
2012-09-12,3.5
2012-09-13,3.4
2012-09-14,3.3
2012-09-17,3.5
2012-09-18,3.65
2012-09-20,3.65
2012-09-21,3.75
2012-09-24,4.0
2012-09-25,4.2
2012-09-26,4.1
2012-09-27,4.25
2012-09-28,4.45
2012-10-01,4.35
2012-10-03,4.2
2012-10-04,4.2
2012-10-05,4.15
2012-10-08,4.05
2012-10-09,4.2
2012-10-10,5.0
2012-10-11,4.95
2012-10-12,4.7
2012-10-15,4.55
2012-10-16,4.45
2012-10-17,4.4
2012-10-18,4.9
2012-10-19,4.9
2012-10-22,4.65
2012-10-23,4.5
2012-10-25,4.45
2012-10-26,4.45
2012-10-29,4.55
2012-10-30,4.45
2012-10-31,4.4
2012-11-01,4.35
2012-11-02,4.55
2012-11-05,4.55
2012-11-06,4.45
2012-11-07,4.4
2012-11-08,4.4
2012-11-09,4.4
2012-11-12,4.45
2012-11-13,4.45
2012-11-15,4.4
2012-11-16,4.45
2012-11-19,4.35
2012-11-20,4.25
2012-11-21,4.2
2012-11-22,4.1
2012-11-23,4.05
2012-11-26,4.0
2012-11-27,3.95
2012-11-29,3.9
2012-11-30,3.85
2012-12-03,3.7
2012-12-04,3.85
2012-12-05,3.65
2012-12-06,3.55
2012-12-07,3.45
2012-12-10,3.45
2012-12-11,3.4
2012-12-12,3.45
2012-12-13,3.35
2012-12-14,3.35
2012-12-17,3.35
2012-12-18,3.3
2012-12-19,3.35
2012-12-20,3.3
2012-12-21,3.2
2012-12-24,3.2
2012-12-26,3.2
2012-12-27,3.3
2012-12-28,3.55
2012-12-31,3.05
