Date,CANDC
2012-01-02,76.8
2012-01-03,78.7
2012-01-04,80.55
2012-01-05,82.75
2012-01-06,81.45
2012-01-07,82.05
2012-01-09,86.75
2012-01-10,89.0
2012-01-11,91.9
2012-01-12,93.1
2012-01-13,94.95
2012-01-16,91.55
2012-01-17,93.1
2012-01-18,90.15
2012-01-19,91.35
2012-01-20,90.35
2012-01-23,91.25
2012-01-24,90.15
2012-01-25,90.95
2012-01-27,90.35
2012-01-30,87.15
2012-01-31,86.1
2012-02-01,88.05
2012-02-02,91.4
2012-02-03,89.95
2012-02-06,92.3
2012-02-07,90.15
2012-02-08,91.2
2012-02-09,95.0
2012-02-10,107.45
2012-02-13,101.65
2012-02-14,101.15
2012-02-15,102.85
2012-02-16,109.1
2012-02-17,108.7
2012-02-21,114.1
2012-02-22,106.8
2012-02-23,103.3
2012-02-24,104.2
2012-02-27,94.2
2012-02-28,102.2
2012-02-29,97.4
2012-03-01,96.8
2012-03-02,96.8
2012-03-03,96.2
2012-03-05,94.4
2012-03-06,93.35
2012-03-07,89.45
2012-03-09,93.15
2012-03-12,92.8
2012-03-13,95.25
2012-03-14,94.3
2012-03-15,92.7
2012-03-16,91.25
2012-03-19,87.95
2012-03-20,87.2
2012-03-21,89.85
2012-03-22,87.5
2012-03-23,87.15
2012-03-26,86.15
2012-03-27,84.25
2012-03-28,81.55
2012-03-29,84.0
2012-03-30,86.4
2012-04-02,88.1
2012-04-03,88.8
2012-04-04,88.15
2012-04-09,88.6
2012-04-10,87.05
2012-04-11,86.85
2012-04-12,88.45
2012-04-13,87.65
2012-04-16,86.8
2012-04-17,87.1
2012-04-18,88.35
2012-04-19,87.85
2012-04-20,88.15
2012-04-23,85.7
2012-04-24,84.45
2012-04-25,84.45
2012-04-26,83.65
2012-04-27,82.5
2012-04-28,83.4
2012-04-30,85.05
2012-05-02,86.05
2012-05-03,85.1
2012-05-04,80.55
2012-05-07,77.7
2012-05-08,78.2
2012-05-09,76.55
2012-05-10,77.0
2012-05-11,77.05
2012-05-14,75.1
2012-05-15,67.45
2012-05-16,66.2
2012-05-17,68.15
2012-05-18,67.75
2012-05-21,72.85
2012-05-22,67.2
2012-05-23,67.7
2012-05-24,68.0
2012-05-25,75.75
2012-05-28,73.7
2012-05-29,69.65
2012-05-30,65.4
2012-05-31,63.65
2012-06-01,63.2
2012-06-04,61.65
2012-06-05,61.3
2012-06-06,63.35
2012-06-07,63.35
2012-06-08,61.65
2012-06-11,61.9
2012-06-12,60.3
2012-06-13,60.65
2012-06-14,59.6
2012-06-15,58.2
2012-06-18,56.95
2012-06-19,57.15
2012-06-20,57.4
2012-06-21,58.1
2012-06-22,57.7
2012-06-25,59.05
2012-06-26,61.5
2012-06-27,61.75
2012-06-28,60.8
2012-06-29,61.15
2012-07-02,62.0
2012-07-03,61.4
2012-07-04,62.0
2012-07-05,63.25
2012-07-06,63.4
2012-07-09,63.5
2012-07-09,63.5
2012-07-10,64.3
2012-07-11,64.05
2012-07-12,62.8
2012-07-13,62.95
2012-07-16,62.7
2012-07-17,60.9
2012-07-18,59.85
2012-07-19,59.15
2012-07-20,59.1
2012-07-23,58.25
2012-07-24,58.1
2012-07-25,57.0
2012-07-26,54.85
2012-07-27,53.75
2012-07-30,53.35
2012-07-31,52.35
2012-08-01,54.05
2012-08-02,55.5
2012-08-03,53.25
2012-08-06,53.55
2012-08-07,52.55
2012-08-08,53.0
2012-08-09,52.2
2012-08-10,51.3
2012-08-13,51.5
2012-08-14,52.0
2012-08-16,50.6
2012-08-17,51.4
2012-08-21,51.8
2012-08-22,53.05
2012-08-23,54.25
2012-08-24,53.75
2012-08-27,54.85
2012-08-28,51.45
2012-08-29,50.4
2012-08-30,49.35
2012-08-31,49.0
2012-09-03,50.8
2012-09-04,50.4
2012-09-05,50.2
2012-09-06,49.8
2012-09-07,51.45
2012-09-08,51.6
2012-09-10,52.15
2012-09-11,51.95
2012-09-12,52.7
2012-09-13,51.6
2012-09-14,51.95
2012-09-17,54.35
2012-09-18,55.65
2012-09-20,54.9
2012-09-21,56.4
2012-09-24,57.8
2012-09-25,57.75
2012-09-26,57.4
2012-09-27,58.35
2012-09-28,58.2
2012-10-01,58.3
2012-10-03,62.95
2012-10-04,70.0
2012-10-05,67.1
2012-10-08,65.5
2012-10-09,65.2
2012-10-10,61.45
2012-10-11,61.95
2012-10-12,60.55
2012-10-15,60.65
2012-10-16,60.2
2012-10-17,60.8
2012-10-18,65.65
2012-10-19,63.35
2012-10-22,64.75
2012-10-23,66.7
2012-10-25,63.3
2012-10-26,62.65
2012-10-29,63.5
2012-10-30,61.6
2012-10-31,58.65
2012-11-01,60.75
2012-11-02,66.15
2012-11-05,64.2
2012-11-06,62.25
2012-11-07,61.2
2012-11-08,60.8
2012-11-09,61.05
2012-11-12,59.5
2012-11-13,60.9
2012-11-15,59.95
2012-11-16,58.1
2012-11-19,58.25
2012-11-20,55.3
2012-11-21,56.45
2012-11-22,54.95
2012-11-23,51.4
2012-11-26,49.65
2012-11-27,51.0
2012-11-29,51.45
2012-11-30,52.15
2012-12-03,52.05
2012-12-04,53.75
2012-12-05,53.8
2012-12-06,54.3
2012-12-07,52.05
2012-12-10,51.9
2012-12-11,51.3
2012-12-12,51.05
2012-12-13,48.7
2012-12-14,49.15
2012-12-17,49.75
2012-12-18,50.35
2012-12-19,52.3
2012-12-20,51.7
2012-12-21,50.4
2012-12-24,50.05
2012-12-26,49.9
2012-12-27,49.45
2012-12-28,49.2
2012-12-31,48.2
