Date,INFY
2012-01-02,2808.95
2012-01-03,2864.3
2012-01-04,2854.4
2012-01-05,2840.15
2012-01-06,2832.15
2012-01-07,2835.2
2012-01-09,2836.55
2012-01-10,2863.6
2012-01-11,2826.6
2012-01-12,2588.25
2012-01-13,2584.2
2012-01-16,2640.15
2012-01-17,2662.05
2012-01-18,2612.05
2012-01-19,2594.7
2012-01-20,2588.8
2012-01-23,2600.3
2012-01-24,2620.8
2012-01-25,2665.8
2012-01-27,2725.0
2012-01-30,2712.3
2012-01-31,2746.0
2012-02-01,2742.7
2012-02-02,2757.0
2012-02-03,2783.25
2012-02-06,2777.1
2012-02-07,2727.5
2012-02-08,2769.15
2012-02-09,2809.9
2012-02-10,2790.4
2012-02-13,2788.4
2012-02-14,2801.05
2012-02-15,2864.1
2012-02-16,2908.95
2012-02-17,2947.8
2012-02-21,2938.25
2012-02-22,2952.25
2012-02-23,2933.15
2012-02-24,2948.05
2012-02-27,2883.35
2012-02-28,2872.4
2012-02-29,2883.45
2012-03-01,2856.65
2012-03-02,2845.7
2012-03-03,2858.1
2012-03-05,2809.85
2012-03-06,2852.45
2012-03-07,2883.85
2012-03-09,2855.3
2012-03-12,2817.4
2012-03-13,2859.8
2012-03-14,2878.85
2012-03-15,2881.9
2012-03-16,2864.95
2012-03-19,2837.5
2012-03-20,2831.35
2012-03-21,2867.3
2012-03-22,2828.3
2012-03-23,2872.7
2012-03-26,2830.75
2012-03-27,2875.9
2012-03-28,2843.1
2012-03-29,2792.0
2012-03-30,2866.3
2012-04-02,2850.2
2012-04-03,2858.45
2012-04-04,2851.1
2012-04-09,2822.75
2012-04-10,2771.4
2012-04-11,2804.4
2012-04-12,2750.65
2012-04-13,2402.55
2012-04-16,2364.55
2012-04-17,2380.7
2012-04-18,2371.25
2012-04-19,2405.4
2012-04-20,2407.4
2012-04-23,2310.9
2012-04-24,2349.55
2012-04-25,2349.95
2012-04-26,2356.2
2012-04-27,2391.0
2012-04-28,2395.8
2012-04-30,2462.1
2012-05-02,2472.0
2012-05-03,2482.9
2012-05-04,2441.95
2012-05-07,2437.6
2012-05-08,2393.9
2012-05-09,2366.25
2012-05-10,2344.2
2012-05-11,2311.3
2012-05-14,2338.95
2012-05-15,2415.2
2012-05-16,2368.45
2012-05-17,2370.55
2012-05-18,2382.85
2012-05-21,2340.45
2012-05-22,2341.1
2012-05-23,2348.2
2012-05-24,2380.8
2012-05-25,2372.85
2012-05-28,2385.8
